Word	Havg	StDev	GoogleRank	translation
人际	2133	5.56	1.1808	3953	Interpersonal
终点	2134	5.56	1.8088	7212	End
邻居	2135	5.56	1.0721	6502	Neighbor
网络	2136	5.56	1.4591	1059	Network
提醒	2137	5.56	1.0333	4603	Remind
修复	2138	5.56	1.2643	5157	Repair
对象	2139	5.56	1.1278	749	Objects
会见	2140	5.56	1.2149	3347	Meet
have	2141	5.56	1.0910	5448	have
学堂	2142	5.56	1.0910	8698	School
团体	2143	5.56	1.1457	1148	Group
活	2144	5.56	1.1980	1115	Live
投产	2145	5.56	1.2316	3788	Production
老百姓	2146	5.56	1.3118	4667	Ordinary people
红军	2147	5.56	1.4165	2034	Red Army
寿命	2148	5.56	1.3118	4165	Life
道理	2149	5.56	1.1095	2317	Reason
林地	2150	5.56	0.8843	9980	Woodland
活動	2151	5.56	1.2480	8973	Activity
领土	2152	5.56	1.1980	2596	Territory
自觉	2153	5.56	1.1278	1757	Conscious
重点	2154	5.56	1.2643	633	Emphasis
客观	2155	5.56	1.5407	689	Objective
航空	2156	5.56	1.2480	2132	Aviation
金山	2157	5.56	1.6308	8898	Jinshan
已	2158	5.54	1.2157	297	Already
专用	2159	5.54	1.3734	3177	Dedicated
关联	2160	5.54	1.0343	3543	Relevance
执业	2161	5.54	0.9521	6859	Practitioners
实践	2162	5.54	1.3126	449	Practice
散发	2163	5.54	1.3280	7803	Distribute
策略	2164	5.54	1.1287	1738	Tactics
外国	2165	5.54	1.2488	750	Foreign country
小学	2166	5.54	1.1817	1906	Primary school
认证	2167	5.54	1.1104	4315	Authenticate
国际	2168	5.54	1.1104	188	International
走出	2169	5.54	1.0919	2942	Out
抱	2170	5.54	1.8206	5124	Hold
黎	2171	5.54	1.0919	8435	Li
牧师	2172	5.54	1.4028	8681	Pastor
活生生	2173	5.54	1.5806	6860	Living
信件	2174	5.54	0.8621	5890	Letter
获悉	2175	5.54	1.4172	9967	Informed
建立	2176	5.54	1.1287	170	Establish
人权	2177	5.54	1.4172	2199	Human rights
up	2178	5.54	1.4028	8016	up
无线	2179	5.54	0.9521	6649	Wireless
原来	2180	5.54	1.1466	1271	Original
山	2181	5.54	1.4737	2218	Mountain
营业	2182	5.54	0.9082	1913	Trade
预防	2183	5.54	1.0343	2660	Prevention
高原	2184	5.54	1.4598	9218	Plateau
放宽	2185	5.54	1.2969	5095	Relaxation
素材	2186	5.54	1.0539	5681	Material
护照	2187	5.54	1.4316	7482	Passport
小学生	2188	5.54	1.2157	5304	Pupils
节奏	2189	5.54	1.3126	4025	Rhythm
技巧	2190	5.54	1.4172	2637	Skill
意义	2191	5.54	1.3126	344	Significance
作家	2192	5.54	0.8855	896	Writer
萌芽	2193	5.54	1.5677	4220	Bud
格外	2194	5.54	1.2324	8479	Particularly
连贯	2195	5.54	1.0919	7559	Coherent
独到	2196	5.54	1.5414	7793	Unique
恰恰	2197	5.54	1.2969	3163	Precisely
眼光	2198	5.54	0.9941	3706	Vision
澄清	2199	5.54	1.2651	5711	Clarify
不要紧	2200	5.54	1.3126	9433	Never mind
愈	2201	5.54	1.2651	2482	Heal
影片	2202	5.54	1.0730	2543	Movie
到位	2203	5.54	1.1988	5557	Place
感受	2204	5.54	0.9304	1946	Feelings
温度	2205	5.54	1.0919	3618	Temperature
陪同	2206	5.54	1.0343	7053	Accompany
便于	2207	5.54	1.2651	2945	Easy to
大江	2208	5.54	0.9082	9411	Oe
男子	2209	5.54	1.1104	3147	Man
云南	2210	5.54	1.0730	3343	Yunnan
焦点	2211	5.54	1.1643	4238	Focus
兴办	2212	5.54	1.1466	4596	Initiate
仰	2213	5.54	0.9941	8473	Yang
形容	2214	5.54	0.9733	7749	Describe
点头	2215	5.54	1.4172	5252	Nod
进展	2216	5.54	1.3881	1786	Progress
天然气	2217	5.54	1.2969	5672	Natural gas
开展	2218	5.54	1.1988	496	Launch
分担	2219	5.54	0.9082	8403	Sharing
帮	2220	5.54	1.4458	4399	Help
international	2221	5.54	1.0539	7144	international
微软	2222	5.54	1.2324	8758	Microsoft
开通	2223	5.54	1.0919	8294	Opening
化妆品	2224	5.54	1.0919	8450	Cosmetic
长沙	2225	5.54	1.3126	4920	Changsha
将军	2226	5.54	1.5806	5998	General
剧目	2227	5.54	1.0144	6761	Repertoire
稻	2228	5.54	1.2324	9445	Rice
办学	2229	5.54	1.1817	3229	Sponsoring
促使	2230	5.54	1.2157	2007	Cause
总算	2231	5.54	1.2157	8571	Finally
适应	2232	5.54	1.2811	672	Adaptation
瑞典	2233	5.54	1.6062	4338	Sweden
欧	2234	5.54	1.2488	2055	Europe
容	2235	5.54	1.3126	2113	Allow
冲破	2236	5.54	1.3126	7037	Break through
星	2237	5.54	0.9733	5378	Star
真有	2238	5.54	1.2969	7384	Really
石油	2239	5.54	1.3881	1381	Oil
stanford	2240	5.54	1.2157	9346	stanford
自发	2241	5.54	1.1104	4658	Spontaneous
衣服	2242	5.54	1.1466	4212	Clothes
田地	2243	5.54	1.3280	8356	Farmland
动态	2244	5.54	1.0144	2582	Dynamic
吸收	2245	5.54	1.4458	1725	Absorb
灌溉	2246	5.54	1.1287	4670	Irrigation
养护	2247	5.54	1.3584	7681	Curing
first	2248	5.54	1.4875	7919	first
今天	2249	5.52	1.0544	601	Today
回国	2250	5.52	1.4741	3839	Home
長	2251	5.52	1.1648	9125	Long
寄托	2252	5.52	1.3438	7611	Sustenance
备忘录	2253	5.52	0.8862	6184	Memo
创刊	2254	5.52	0.9089	6862	Start publication
菜	2255	5.52	1.4177	7403	Dish
所有	2256	5.52	1.3886	346	All
授课	2257	5.52	1.0544	9437	Teach
互相	2258	5.52	1.1822	1395	Mutual
创汇	2259	5.52	1.5550	4029	Foreign exchange
自已	2260	5.52	1.3285	8660	Own
高速	2261	5.52	1.4177	2671	High speed
大选	2262	5.52	1.3130	6643	General election
电脑	2263	5.52	1.7052	3176	Computer
经理	2264	5.52	1.4462	1497	Manager
一致	2265	5.52	1.2656	823	Consistency
齐	2266	5.52	1.5016	4496	Together
感	2267	5.52	1.4032	1342	Sense
采集	2268	5.52	1.1648	5011	Collection
领导	2269	5.52	1.6932	157	Leadership
威力	2270	5.52	1.2162	6051	Power
联盟	2271	5.52	1.0544	2002	Alliance
展现	2272	5.52	1.1822	4300	Show
讲课	2273	5.52	1.1822	6558	Lecture
响应	2274	5.52	1.1822	4122	Response
常常	2275	5.52	1.0544	1531	Often
深刻	2276	5.52	1.3130	1046	Profound
冰箱	2277	5.52	1.2162	5787	Refrigerator
课堂	2278	5.52	1.0736	4195	Classroom
巨	2279	5.52	1.5550	5266	Huge
任教	2280	5.52	0.8862	7540	Teach
绘图	2281	5.52	1.0544	8364	Draw
终于	2282	5.52	1.5810	1622	Finally
重新	2283	5.52	1.1648	981	Again
速度	2284	5.52	1.1471	866	Speed
空气	2285	5.52	1.5418	3036	Air
电视台	2286	5.52	1.3285	3475	TV station
兰	2287	5.52	1.2974	2571	Orchid
院子	2288	5.52	1.1993	6394	Courtyard
如实	2289	5.52	0.9311	5612	Truthfully
治国	2290	5.52	1.3285	7074	Country
大潮	2291	5.52	1.1822	9160	Tide
微妙	2292	5.52	1.3130	7163	Subtle
统一	2293	5.52	1.0736	455	Unified
媒体	2294	5.52	1.0736	2771	Media
一至	2295	5.52	1.0925	6708	One to
聘任	2296	5.52	1.6811	7564	Engage
藏书	2297	5.52	1.1822	9321	Library
迅猛	2298	5.52	1.1292	5071	Swift and violent
trade	2299	5.52	1.0349	8004	trade
剧场	2300	5.52	1.0925	7796	Theater
驾驭	2301	5.52	1.1993	6866	Control
想到	2302	5.52	1.2816	1549	Think
京剧	2303	5.52	1.1110	7299	Beijing opera
语言	2304	5.52	1.0925	556	Language
最初	2305	5.52	1.2493	2061	Initial
改革	2306	5.52	1.3589	122	Reform
意境	2307	5.52	1.4032	7218	Artistic conception
气氛	2308	5.52	1.5151	2820	Atmosphere
阳	2309	5.52	0.9739	4598	Sun
结盟	2310	5.52	1.5285	6473	Ally
应当	2311	5.52	1.3438	375	Should
修建	2312	5.52	1.3438	4216	Build
天下	2313	5.52	1.5810	2424	World
国人	2314	5.52	0.9739	3429	Country
发布	2315	5.52	0.9528	1703	Release
粮	2316	5.52	1.2329	4910	Grain
技	2317	5.52	1.1822	1493	Skill
应变	2318	5.52	1.1292	8528	Strain
汉族	2319	5.52	1.6318	7070	Han
演讲	2320	5.52	1.2493	4048	Lecture
西藏	2321	5.52	1.4177	3070	Tibet
课外	2322	5.52	1.3589	6719	Extracurricular
轻易	2323	5.52	1.3589	4873	Easily
海运	2324	5.50	0.9530	7712	Ocean shipping
观	2325	5.50	1.0152	1102	Watch
周岁	2326	5.50	1.1824	7876	Years
娃	2327	5.50	1.4604	6787	Baby
航运	2328	5.50	1.1112	4277	Shipping
西欧	2329	5.50	1.5017	3655	Western Europe
风	2330	5.50	0.9742	2109	Wind
航天	2331	5.50	1.2657	4689	Aerospace
理念	2332	5.50	1.1650	3310	Idea
汉字	2333	5.50	1.2657	3736	Chinese character
扭转	2334	5.50	1.5017	4950	Torsion
册子	2335	5.50	1.1824	8958	Book
百科	2336	5.50	1.2164	9971	Encyclopedia
产地	2337	5.50	1.0926	7821	Place of origin
质量	2338	5.50	1.2330	526	Quality
持久	2339	5.50	1.2657	3779	Lasting
莎士比亚	2340	5.50	1.3286	9708	Shakespeare
加盟	2341	5.50	1.0738	9816	Affiliate
感觉	2342	5.50	1.1650	1245	Feeling
演示	2343	5.50	1.0738	9985	Demonstrate
能动性	2344	5.50	1.2657	7977	Initiative
营造	2345	5.50	1.1650	6314	Build
性教育	2346	5.50	1.1824	9438	Sex Education
江苏	2347	5.50	1.2495	3490	Jiangsu Province
创	2348	5.50	0.9742	2203	Create
开办	2349	5.50	1.1824	2939	Start
场景	2350	5.50	0.9949	5730	Scenes
自动化	2351	5.50	1.3439	3552	Automation
东北	2352	5.50	1.6067	1784	Northeast
致力	2353	5.50	0.9530	3419	Committed
妥当	2354	5.50	1.6568	7021	Proper
听取	2355	5.50	1.0926	2784	Listen to
阁下	2356	5.50	0.8864	7472	Excellency
有偿	2357	5.50	1.3132	5680	Paid
麦	2358	5.50	0.9530	5785	Wheat
城市	2359	5.50	1.2164	264	City
皮肤	2360	5.50	0.9949	5177	Skin
注视	2361	5.50	1.1995	6149	Watch
山上	2362	5.50	1.2817	5130	Mountains
种子	2363	5.50	1.1995	3588	Seed
书	2364	5.50	1.2330	438	Book
财会	2365	5.50	1.2657	6381	Finance and accounting
开幕	2366	5.50	0.9742	4163	Open
总统	2367	5.50	1.5419	1262	President
完全	2368	5.50	1.1294	376	Entirely
志愿	2369	5.50	1.4880	5800	Volunteer
雪	2370	5.50	1.1995	6487	Snow
渊源	2371	5.50	1.0926	6102	Origin
起来	2372	5.50	1.0546	227	Up
开端	2373	5.50	1.2330	8050	Beginning
适时	2374	5.50	1.3132	5532	Timely
图片	2375	5.50	1.0926	5707	Picture
佛	2376	5.50	2.0329	5859	Buddha
海南	2377	5.50	1.3132	3006	Hainan
参谋	2378	5.50	0.9949	2802	Staff officer
外表	2379	5.50	1.1112	8679	Outside
纪念碑	2380	5.50	1.2330	8764	Monument
治学	2381	5.50	1.1995	7593	Scholarship
繁殖	2382	5.50	1.2657	9726	Multiplication
索引	2383	5.50	1.0738	6307	Index
车	2384	5.50	1.2976	1211	Car
手机	2385	5.50	1.2657	7554	Phone
切合	2386	5.50	1.0738	6812	Suit
国防	2387	5.50	1.0152	1638	National defense
扩充	2388	5.50	1.2976	4646	Expansion
旅客	2389	5.50	1.0926	4825	Passenger
造林	2390	5.50	1.4178	5184	Afforestation
打算	2391	5.50	1.3286	2930	Plan
脸	2392	5.50	1.4033	3851	Face
具有	2393	5.50	1.0738	194	Have
秋季	2394	5.50	1.5419	6056	Autumn
生意	2395	5.50	1.2330	3895	Business
寂静	2396	5.50	1.4321	9904	Silence
接待	2397	5.50	1.0351	3250	Reception
长江	2398	5.50	1.1995	3374	Yangtze
施展	2399	5.50	1.1473	9518	Display
订单	2400	5.50	1.0738	8420	Order
总额	2401	5.50	1.3132	1422	Total
空调	2402	5.50	1.1824	6677	Air conditioning
像	2403	5.50	1.0152	1363	Image
权威	2404	5.50	1.4880	2389	Authority
生殖	2405	5.50	1.2817	6725	Reproduction
人士	2406	5.50	1.2330	1299	Person
手	2407	5.50	1.3439	1320	Hand
答案	2408	5.50	1.5017	3349	Answer
演进	2409	5.50	0.9530	7395	Evolution
use	2410	5.50	1.0152	9358	use
冬	2411	5.50	1.4880	5450	Winter
待遇	2412	5.50	1.0546	2692	Treatment
今后	2413	5.50	1.0351	1088	In the future
芬兰	2414	5.50	1.1650	6951	Finland
储备	2415	5.50	1.3132	2725	Reserve
聘	2416	5.50	0.9742	9997	Engage
易于	2417	5.50	1.3439	5092	Apt
湾	2418	5.50	1.2976	3813	Bay
强烈	2419	5.50	1.3286	1215	Strong
脑	2420	5.50	1.4463	5507	Brain
同事	2421	5.50	1.1112	5496	Colleague
运行	2422	5.50	1.3590	1045	Run
热点	2423	5.50	0.9742	4790	Hot spot
湖	2424	5.50	1.2817	6911	Lake
王	2425	5.50	1.6194	3432	King
修辞	2426	5.50	0.8864	7487	Rhetoric
九龙	2427	5.50	1.2330	8581	Kowloon
添	2428	5.48	1.1292	8856	Add
工艺	2429	5.48	1.3438	1904	Crafts
科教	2430	5.48	1.1110	9305	Science and Education
战斗力	2431	5.48	1.5939	3882	Fighting
搭配	2432	5.48	1.5680	9377	Collocation
万物	2433	5.48	1.0925	5577	All
奇异	2434	5.48	1.4177	8417	Singular
主意	2435	5.48	1.2162	5868	Idea
解救	2436	5.48	1.6066	9860	Rescue
文凭	2437	5.48	1.2329	9097	Diploma
专著	2438	5.48	0.8862	5582	Monograph
配备	2439	5.48	0.9947	3523	With
前列	2440	5.48	1.4741	7734	Forefront
遵照	2441	5.48	1.3285	5010	Compliance
立足	2442	5.48	1.2656	3301	Based on
交往	2443	5.48	1.3738	2123	Contact
拥	2444	5.48	1.6567	6142	Have
告知	2445	5.48	1.0544	5731	Inform
公立	2446	5.48	1.4462	9351	Public
一直	2447	5.48	0.9089	783	Has been
书本	2448	5.48	1.0736	8562	Book
众所周知	2449	5.48	1.4177	4819	As we all know
东道国	2450	5.48	1.2656	8496	Host country
兼任	2451	5.48	0.9739	5109	Part-time
凝聚	2452	5.48	1.3438	6659	Cohesion
仪	2453	5.48	1.2493	5738	Instrument
见证	2454	5.48	0.9311	8181	Witness
我国	2455	5.48	1.7407	128	Country
田	2456	5.48	1.1110	4380	Field
理所当然	2457	5.48	1.2816	6707	Naturally
夏	2458	5.48	1.2493	4280	Summer
渐进	2459	5.48	1.5550	8454	Progressive
学历	2460	5.48	0.9947	4808	Educational background
本能	2461	5.48	1.1110	5792	Instinct
同等	2462	5.48	1.2656	4389	Equivalent
人文	2463	5.48	1.0925	3079	Humanities
支撑	2464	5.48	1.3438	4286	Support
成都	2465	5.48	1.1471	5117	Chengdu
自治	2466	5.48	1.6318	1698	Autonomy
修饰	2467	5.48	1.0736	9588	Modify
邮票	2468	5.48	1.3589	7435	Stamp
护理	2469	5.48	1.1110	6253	Nurse
签发	2470	5.48	1.0736	5590	Issue
哲学	2471	5.48	1.2162	544	Philosophy
能	2472	5.48	1.3285	99	Can
表明	2473	5.48	0.8389	977	Show
宁夏	2474	5.48	1.1822	6190	Ningxia
准备	2475	5.48	1.3130	639	Ready
节省	2476	5.48	1.4320	4201	Save
育	2477	5.48	0.7887	1620	Educate
交谈	2478	5.48	0.9947	4323	Chat
各州	2479	5.48	1.5151	8394	States
想见	2480	5.48	1.4032	7904	Imagine
举行	2481	5.48	0.8628	798	Hold
国务院	2482	5.48	1.2162	762	State council
全民	2483	5.48	1.0150	1751	Whole people
田间	2484	5.48	1.3738	9604	Field
感知	2485	5.48	1.4879	7308	Perceive
运动	2486	5.48	1.4177	286	Motion
转载	2487	5.48	0.9089	9334	Reserved
态度	2488	5.48	1.3130	719	Attitude
提供	2489	5.48	0.8862	302	Provided
师	2490	5.48	1.2329	1453	Division
领事馆	2491	5.48	0.9528	7361	Consulate
多数	2492	5.48	1.1822	805	Majority
补充	2493	5.48	1.2162	1367	Supplementary
刊载	2494	5.48	1.3285	8635	Published
靠拢	2495	5.48	1.0925	9229	Approach
传说	2496	5.48	1.4602	3247	Legend
才	2497	5.48	1.5016	459	Only
陛下	2498	5.48	1.6811	9205	His Majesty
突破口	2499	5.48	1.2974	6042	Breach
增殖	2500	5.48	1.4741	7092	Proliferation
电视剧	2501	5.48	1.1292	5149	TV
决定性	2502	5.48	1.2162	3345	Decisive
毕生	2503	5.48	1.2162	9226	Lifetime
抵达	2504	5.48	1.0150	5756	Arrival
面貌	2505	5.48	1.5939	2620	Appearance
大道	2506	5.48	1.1292	6639	Avenue
纵横	2507	5.48	1.1292	9121	Aspect
沙特	2508	5.48	1.2162	7931	Saudi Arabia
通信	2509	5.48	1.2329	1952	Communicate
购买	2510	5.48	1.2162	1418	Buy
高层	2511	5.48	1.2493	3299	High level
拨款	2512	5.48	0.9739	3715	Appropriation
兼职	2513	5.48	1.0150	5503	Part-time
治理	2514	5.48	1.3589	1597	Control
好意思	2515	5.48	1.2974	7715	Nerve
战士	2516	5.48	1.3130	2164	Warrior
院士	2517	5.48	1.5680	9838	Academician
运动员	2518	5.48	1.1110	4120	Athlete
宽度	2519	5.48	1.3285	6960	Width
演义	2520	5.48	1.0736	8831	Historical novel
京都	2521	5.48	0.9947	8664	Kyoto
醒	2522	5.48	1.3130	6031	Wake
海上	2523	5.48	1.1292	3888	Maritime
朗	2524	5.48	1.2493	5867	Bright
范例	2525	5.48	0.9739	6287	Example
影视	2526	5.48	1.2974	7109	Television
号召	2527	5.48	1.2162	4111	Call
透彻	2528	5.48	1.3130	9102	Thorough
儒家	2529	5.48	1.2656	6774	Confucian
补助	2530	5.48	1.2816	2587	Allowance
带头	2531	5.48	1.2493	6076	Take the lead
海水	2532	5.48	1.1471	8957	Seawater
往来	2533	5.48	1.0150	2830	Contacts
梅	2534	5.48	1.2329	6342	Plum
早日	2535	5.48	1.1648	5402	Early
脑力	2536	5.48	1.5016	9432	Mental
村庄	2537	5.48	1.5151	3098	Village
尽早	2538	5.48	1.0544	7537	As early as possible
心	2539	5.48	1.1822	863	Heart
乌鲁木齐	2540	5.48	1.4032	8007	Urumqi
宇宙	2541	5.48	1.2493	2794	Universe
佛教	2542	5.48	1.4320	4182	Buddhism
宾	2543	5.48	0.9311	5832	Guest
进度	2544	5.48	0.9311	4457	Schedule
扩张	2545	5.48	1.5016	2558	Expansion
简	2546	5.48	1.1822	3755	Simple
改变	2547	5.48	1.2816	555	Change
龙头	2548	5.46	1.0730	4287	Faucet
志	2549	5.46	1.2811	2394	Annals
兼容	2550	5.46	1.1104	7739	Compatible
进口	2551	5.46	1.1817	1071	Import
enterprises	2552	5.46	1.2157	8384	enterprises
资格	2553	5.46	1.0539	2046	Qualifications
保证人	2554	5.46	1.1104	6985	Guarantor
立即	2555	5.46	1.1988	1234	Immediately
论著	2556	5.46	1.1466	9839	On the
进来	2557	5.46	1.2157	3952	Come in
很多	2558	5.46	1.2488	676	Many
村子	2559	5.46	1.0730	5379	Village
维护	2560	5.46	1.4458	1024	Maintain
节目	2561	5.46	1.1104	2381	Program
标志	2562	5.46	1.1643	1469	Mark
辅导	2563	5.46	1.2811	4171	Coach
牧民	2564	5.46	1.2157	6297	Herdsman
研讨	2565	5.46	1.0919	2419	Seminar
热量	2566	5.46	1.1643	8908	Heat
农田	2567	5.46	1.0730	4007	Farmland
甲骨文	2568	5.46	0.9521	5931	Oracle
农家	2569	5.46	1.1643	8673	Farmhouse
无比	2570	5.46	1.2811	7374	Matchless
概率	2571	5.46	1.1817	7276	Probability
选手	2572	5.46	1.1466	9194	Athlete
按时	2573	5.46	1.0919	5642	On time
购买力	2574	5.46	1.1643	4093	Purchasing power
听见	2575	5.46	0.9733	3297	Hear
傍晚	2576	5.46	1.2324	5332	Nightfall
信息	2577	5.46	1.3734	333	Information
文献	2578	5.46	1.1817	1934	Literature
和	2579	5.46	1.0144	5	And
保险	2580	5.46	1.2488	596	Safety
神情	2581	5.46	1.5281	7723	Look
起來	2582	5.46	1.2651	8052	Up
不怕	2583	5.46	1.4028	3679	Afraid
典型	2584	5.46	1.3734	1437	Typical
商场	2585	5.46	1.0539	5697	Market
餐饮	2586	5.46	1.4028	8448	Catering
终极	2587	5.46	1.4458	7153	Ultimate
遵义	2588	5.46	1.2324	7880	Zunyi
捐	2589	5.46	1.5147	9055	Donate
山谷	2590	5.46	1.0539	9391	Valley
天气	2591	5.46	1.2651	4849	Weather
强化	2592	5.46	1.7752	1918	Strengthening
签证	2593	5.46	0.9941	5901	Visa
重大	2594	5.46	1.0343	550	Significant
种植	2595	5.46	1.3126	1864	Crop
选举	2596	5.46	1.3734	1060	Election
回忆录	2597	5.46	1.2969	6602	Memoirs
变通	2598	5.46	1.2651	7914	Modifications
book	2599	5.46	1.0539	8654	book
东南	2600	5.46	1.1104	3387	Southeast
就业	2601	5.46	1.1287	1030	Employment
上来	2602	5.46	1.1817	1806	Up
金额	2603	5.46	1.1817	2755	Money
大街	2604	5.46	1.1817	4453	Avenue
体会	2605	5.46	0.8621	2962	Experience
宇宙观	2606	5.46	0.9304	8640	Cosmology
竞技	2607	5.46	1.1466	9714	Athletics
兼顾	2608	5.46	0.8855	5005	Both
心中	2609	5.46	1.2324	3129	Hearts
城堡	2610	5.46	1.1466	9142	Castle
实际	2611	5.46	0.8134	215	Actual
普及	2612	5.46	1.3584	2376	Universal
台北	2613	5.46	1.2811	4463	Taipei
动员	2614	5.46	1.0144	2271	Mobilization
股份	2615	5.46	1.1287	1301	Share
力气	2616	5.46	1.2157	6919	Strength
楼房	2617	5.46	1.1104	8487	Building
分明	2618	5.46	1.1104	6011	Clear
成语	2619	5.46	1.0144	7659	Idiom
春秋	2620	5.46	1.3734	6361	Spring
许可	2621	5.46	1.1287	1737	License
起源	2622	5.46	1.4458	4731	Origin
特征	2623	5.46	1.3280	852	Feature
用水	2624	5.46	1.3126	5848	Water
艺	2625	5.46	1.2157	4188	Arts
信托	2626	5.46	1.3280	3307	Trust
探测	2627	5.46	1.1643	6742	Probe
具备	2628	5.46	1.3280	1545	Have
主导	2629	5.46	1.2324	1726	Leading
应用	2630	5.46	1.0919	804	Application
世上	2631	5.46	0.9304	9709	World
坚	2632	5.46	1.2157	6276	Firm
借鉴	2633	5.46	1.0539	2748	Learn
联合	2634	5.46	0.9304	491	Joint
识	2635	5.46	1.0539	1543	Knowledge
邮件	2636	5.46	1.0144	4587	Mail
供给	2637	5.46	1.1643	1595	Supply
大型	2638	5.46	1.1104	1607	Large-scale
改	2639	5.46	1.5012	1050	Change
发	2640	5.46	1.1988	340	Hair
答	2641	5.46	1.0144	3439	Answer
internet	2642	5.46	1.6189	8567	internet
地球	2643	5.46	1.3881	2972	Earth
招收	2644	5.46	1.2324	4945	Recruit
勃	2645	5.46	1.2324	7437	Suddenly
全球	2646	5.46	1.2651	1344	Global
方法	2647	5.46	0.9521	211	Method
呼声	2648	5.46	1.2324	4967	Voice
百分点	2649	5.46	1.3126	2445	Percentage point
音响	2650	5.46	1.3433	6158	Sound
进入	2651	5.46	0.9521	949	Enter
实体	2652	5.46	1.1817	2235	Entity
许	2653	5.46	1.2324	2244	Promise
营救	2654	5.46	1.6686	9728	Rescue
商定	2655	5.46	1.1287	5430	Agree
实行	2656	5.46	1.3433	318	Implement
试	2657	5.46	1.0730	2507	Test
国计民生	2658	5.46	0.9733	7229	People's livelihood
放大	2659	5.46	1.2157	7369	Enlarge
织	2660	5.46	1.0919	1797	Weave
镜子	2661	5.46	0.9521	7132	Mirror
招牌	2662	5.46	1.2969	7102	Signboard
中学	2663	5.46	1.2969	2478	High school
产业	2664	5.46	0.9521	324	Industry
外销	2665	5.46	1.3280	8560	Export
相处	2666	5.46	1.1817	6406	Get along
万字	2667	5.46	1.1988	5988	Million words
报价	2668	5.46	1.3126	7993	Quoted price
人格	2669	5.46	1.1643	3204	Personality
察看	2670	5.46	1.2651	8687	Observe
规划	2671	5.46	1.2324	755	Planning
建国	2672	5.46	1.1287	2448	Jianguo
特种	2673	5.46	1.4316	6683	Special type
长足	2674	5.44	1.4309	6192	Considerable
思维	2675	5.44	1.2803	1170	Thinking
国立	2676	5.44	1.4591	6850	National
风俗	2677	5.44	1.0529	3447	Custom
就任	2678	5.44	1.3426	8729	Take office
当然	2679	5.44	0.9723	592	Of course
能够	2680	5.44	1.0910	446	Able
生产力	2681	5.44	0.8609	705	Productive forces
新华	2682	5.44	1.3726	2336	Xinhua
迅	2683	5.44	0.8609	8313	Fast
技术员	2684	5.44	1.3273	6595	Technician
时代	2685	5.44	1.0721	587	Era
继承权	2686	5.44	1.1980	8023	Inheritance
法治	2687	5.44	1.3118	4130	The rule of law
珠江	2688	5.44	1.0529	7674	Pearl
相连	2689	5.44	1.3426	6720	Connection
驱动	2690	5.44	1.0134	7638	Drive
木材	2691	5.44	1.0333	4169	Timber
明代	2692	5.44	0.9293	6247	Ming Dynasty
衷	2693	5.44	1.3273	5788	Zhong
来源	2694	5.44	1.2803	1177	Source
economic	2695	5.44	1.3426	5732	economic
胞	2696	5.44	1.1980	7786	Cellular
每年	2697	5.44	1.2643	933	Per year
纸币	2698	5.44	1.3874	5844	Note
释	2699	5.44	1.3273	4712	Release
合资	2700	5.44	1.0134	2409	Joint venture
定居	2701	5.44	1.2961	5476	Settlement
无数	2702	5.44	1.0721	4788	Countless
岁	2703	5.44	1.3118	520	Years
船上	2704	5.44	1.2316	5804	Aboard
表情	2705	5.44	1.0529	8848	Expression
锐	2706	5.44	1.0910	8106	Sharp
现今	2707	5.44	0.8609	9561	Nowadays
紧密	2708	5.44	1.0529	1996	Close
转化	2709	5.44	1.2480	1791	Transformation
乘客	2710	5.44	1.0333	7227	Passenger
客车	2711	5.44	1.0333	7504	Bus
免疫	2712	5.44	1.2961	6105	Immunity
上演	2713	5.44	1.3118	7801	Staged
得	2714	5.44	0.8843	233	Get
构筑	2715	5.44	0.9930	6670	Build
在学	2716	5.44	1.1980	9646	At school
语音	2717	5.44	1.2149	6692	Voice
办法	2718	5.44	0.9510	389	Way
白天	2719	5.44	1.0529	6653	Daytime
影像	2720	5.44	0.9071	9942	Image
深夜	2721	5.44	1.2316	7450	Late at night
作物	2722	5.44	1.0134	2487	Crop
台湾	2723	5.44	1.1457	664	Taiwan
乡土	2724	5.44	1.4868	6390	Local
泰国	2725	5.44	1.3874	3702	Thailand
大连	2726	5.44	1.2480	6678	Dalian
军官	2727	5.44	1.3577	3663	Officer
华南	2728	5.44	1.2316	5749	South
会员	2729	5.44	1.3273	2073	Member
贸易	2730	5.44	1.1634	392	Trading
实情	2731	5.44	1.5274	9925	Truth
出场	2732	5.44	0.9723	8601	Appearance
记得	2733	5.44	1.1634	3315	Remember
顺应	2734	5.44	1.0721	6232	Conform
可比	2735	5.44	1.0333	6163	Comparable
酒店	2736	5.44	1.3118	5588	Hotels
就读	2737	5.44	1.1278	8604	Attending
职守	2738	5.44	0.9723	6749	Duty
找到	2739	5.44	1.4450	1212	Found
性格	2740	5.44	1.2480	2455	Character
直接	2741	5.44	1.1980	322	Direct
忆	2742	5.44	1.1278	7781	Recall
养	2743	5.44	0.9723	2763	Raise
调整	2744	5.44	1.1278	530	Adjustment
放映	2745	5.44	1.0721	6197	Show
解说	2746	5.44	1.4730	6967	Comment
举	2747	5.44	1.2316	2003	Lift
望	2748	5.44	0.8369	2511	Hope
器具	2749	5.44	0.9930	8407	Appliance
海域	2750	5.44	1.0721	6014	Seas
率先	2751	5.44	1.1457	5673	Lead
奇	2752	5.44	1.2149	2608	Odd
