Word	HappRank	Havg	StDev	Freq_List	TwitterRank	Gbook_Rank	translation
начинается	2621	5.76	0.9806	1496	1125	1607	begins
оплата	2622	5.76	1.2382	--	2185	--	payment
разговариваю	2623	5.76	0.8704	3800	--	--	talk
прислал	2624	5.76	0.8466	3599	--	--	sent
full	2625	5.76	1.3180	--	964	--	full
личной	2626	5.76	1.0012	--	--	3667	personal
будет	2627	5.76	0.9806	52	38	107	will
предложения	2628	5.76	0.8221	4938	3116	1094	Offers
важным	2629	5.76	0.8704	--	--	2123	important
белой	2630	5.76	1.0606	--	--	4088	white
берег	2631	5.76	0.9806	--	--	3283	shore
добавить	2632	5.74	0.8992	3903	3670	--	add
позвонил	2633	5.74	0.9216	1730	3665	--	call
выполнение	2634	5.74	0.8283	--	--	1710	performance
светлана	2635	5.74	1.3524	--	4798	--	Svetlana
первого	2636	5.74	0.7508	1545	1089	612	first
деревню	2637	5.74	1.1031	3837	--	4516	village
определенно	2638	5.74	0.7775	2084	4156	--	definitely
представляешь	2639	5.74	0.7775	1827	--	--	imagine
знаешь	2640	5.74	0.8992	73	472	2417	know
сохраняется	2641	5.74	0.9649	--	--	4586	saved
предложил	2642	5.74	0.7508	2772	2511	2872	proposed
джин	2643	5.74	0.9858	2066	--	--	gin
покое	2644	5.74	0.8762	1054	--	--	alone
получает	2645	5.74	0.7508	3669	3969	2730	receives
имеем	2646	5.74	0.8992	2468	--	2104	have
народная	2647	5.74	0.9649	--	--	4665	People
занимается	2648	5.74	1.0264	2068	--	--	engaged
видела	2649	5.74	0.8033	426	918	--	seen
объективно	2650	5.74	1.0654	--	--	4616	objectively
осуществление	2651	5.74	0.9435	--	--	2892	implementation
японии	2652	5.74	0.9649	3859	2396	2105	Japan
пришли	2653	5.74	0.7775	634	1318	1956	come
часто	2654	5.74	0.8762	754	734	265	often
представить	2655	5.74	0.8033	934	3511	1254	submit
занятие	2656	5.74	0.9858	--	4505	--	occupation
технологии	2657	5.74	0.9649	--	4525	1863	Technology
народные	2658	5.74	1.0844	--	--	3433	people
евро-2012	2659	5.74	1.3822	--	2804	--	Euro 2012
целью	2660	5.74	0.9858	3014	4750	534	to
city	2661	5.74	1.0461	--	1905	--	city
знаком	2662	5.74	0.7508	2357	--	4210	sign
похожи	2663	5.74	0.6642	1864	3917	--	similar
игрок	2664	5.74	1.1920	4346	--	--	player
останься	2665	5.74	1.0063	2792	--	--	Stay
начинаем	2666	5.74	0.9435	2480	4833	--	start
царской	2667	5.74	1.1395	--	--	4667	Tsarist
buy	2668	5.74	1.0844	--	1137	--	buy
универ	2669	5.74	1.2906	--	2567	--	University
столицы	2670	5.74	0.9649	--	--	4713	capital
капитан	2671	5.74	0.8526	462	--	3040	captain
воли	2672	5.74	1.1031	--	--	2032	will
мощностью	2673	5.74	0.8762	--	--	3642	power
прямом	2674	5.74	0.8526	--	3718	--	forward
дадут	2675	5.74	0.8762	3887	4615	--	will
маша	2676	5.74	0.9858	--	1988	--	Masha
костюм	2677	5.74	1.0063	1891	3947	--	suit
story	2678	5.74	0.9435	--	4060	--	story
младший	2679	5.74	1.0844	3592	--	--	Jr
продолжим	2680	5.74	0.6642	3720	--	--	continue
научных	2681	5.74	0.9216	--	--	987	research
она	2682	5.74	0.8992	21	77	42	she
рецепт	2683	5.74	0.9435	--	3220	--	recipe
спишь	2684	5.74	1.0654	2229	3014	--	sleep
читай	2685	5.74	0.8033	--	3838	--	read
поверьте	2686	5.74	0.7508	2411	--	--	Believe
особый	2687	5.74	0.9435	4658	--	2677	special
расскажешь	2688	5.74	0.7775	2883	--	--	tell
император	2689	5.74	1.2586	4046	--	--	emperor
йорк	2690	5.74	1.0063	1658	--	--	York
отеле	2691	5.74	0.8992	2523	--	--	Hotel
айфон	2692	5.74	1.4115	--	1610	--	iPhone
опыте	2693	5.74	0.7775	--	--	4300	experience
делаю	2694	5.74	0.7775	715	939	--	do
моем	2695	5.74	0.8283	879	1396	4792	my
инет	2696	5.74	1.1572	--	3204	--	'Net
united	2697	5.74	0.8992	--	4994	--	united
photoset	2698	5.74	1.0844	--	2111	--	photoset
простой	2699	5.74	0.8283	2552	3730	2157	simple
своего	2700	5.74	0.6943	364	545	155	its
сделали	2701	5.74	0.8033	525	1133	2932	made
думает	2702	5.74	0.7231	912	1823	--	thinking
экспедиции	2703	5.74	1.0264	--	--	3189	Expedition
think	2704	5.74	0.7508	--	961	--	think
yourself	2705	5.74	0.9435	--	4695	--	yourself
вертолет	2706	5.74	0.9649	4603	--	--	helicopter
выбраться	2707	5.74	1.0063	2063	--	--	out
проще	2708	5.74	1.1214	2004	1454	--	easier
ма	2709	5.74	1.1214	3497	--	3675	ma
увидишь	2710	5.74	0.8033	1120	4557	--	see
пришел	2711	5.74	0.7775	518	923	1399	come
говоришь	2712	5.74	0.8762	356	2259	--	say
пространства	2713	5.74	1.1031	--	--	2026	space
входи	2714	5.74	0.7231	3734	--	--	Come
миссия	2715	5.74	1.0063	3686	3684	--	mission
ресурсы	2716	5.74	0.7508	--	--	3459	resources
находим	2717	5.74	0.7775	--	--	3717	find
приобретает	2718	5.74	0.8283	--	--	3085	acquires
айпады	2719	5.74	1.3822	--	2544	--	iPads
представьте	2720	5.74	0.7775	3349	--	--	Imagine
приехать	2721	5.74	0.8283	1960	4688	--	come
разговор	2722	5.74	0.8762	1509	2010	1778	conversation
ученых	2723	5.74	0.9435	--	--	1601	Scientists
мое	2724	5.74	0.8033	358	614	1165	my
найдется	2725	5.74	0.8283	4033	--	--	there
гляди	2726	5.74	0.9216	4466	--	--	Look
ответы	2727	5.74	0.8762	3397	3353	--	Answers
даа	2728	5.74	1.2257	--	1511	--	yeah
закончил	2729	5.74	1.0844	1607	--	--	finished
примером	2730	5.74	0.9435	--	--	3574	example
захотел	2731	5.74	0.7775	3320	--	--	wanted
появление	2732	5.74	0.6943	--	--	2231	appearance
позволит	2733	5.74	0.8283	4207	--	3897	will
рубашку	2734	5.74	0.8283	3796	--	--	shirt
зеркало	2735	5.74	0.9858	3147	3926	--	mirror
контакт	2736	5.72	0.8340	3407	1878	--	contact
беру	2737	5.72	0.8340	2319	--	--	take
посмотрела	2738	5.72	0.7296	--	1290	--	looked
action	2739	5.72	1.0698	--	4155	--	action
исправить	2740	5.72	0.9906	3000	1805	--	correct
диалог	2741	5.72	0.7570	--	4487	--	dialogue
расскажет	2742	5.72	0.7570	4985	3861	--	tell
имеешь	2743	5.72	0.8340	936	--	--	have
картофеля	2744	5.72	0.9906	--	--	4800	Potato
индии	2745	5.72	1.0698	--	4243	2701	India
бегать	2746	5.72	1.1256	4299	4665	--	run
автор	2747	5.72	0.7835	3049	1663	428	author
сцены	2748	5.72	0.9044	4660	--	3446	Scene
закончили	2749	5.72	1.0698	2058	--	--	finished
движении	2750	5.72	0.8581	--	--	2049	Flow
give	2751	5.72	0.9267	--	1865	--	give
позволяет	2752	5.72	0.9267	3469	4081	574	allows
снимки	2753	5.72	0.8816	4790	--	--	pictures
лодке	2754	5.72	0.9044	4736	--	--	boat
естественных	2755	5.72	0.7010	--	--	4303	natural
исследования	2756	5.72	0.7296	3897	--	274	Research
изучению	2757	5.72	0.8816	--	--	1873	study
характера	2758	5.72	0.8091	--	--	646	nature
обеспечения	2759	5.72	0.7570	--	--	1342	software
отвечаю	2760	5.72	0.8581	4642	3085	--	answer
продвигаю	2761	5.72	0.8340	--	2781	--	move forward to
окна	2762	5.72	0.9267	1703	1741	2492	windows
видим	2763	5.72	0.8581	1995	--	2167	see
москву	2764	5.72	0.9485	--	1213	1378	moscow
начинают	2765	5.72	0.8091	3434	2428	3770	start
запад	2766	5.72	1.1613	3717	--	3036	west
прямая	2767	5.72	0.8340	--	3513	--	straight
российские	2768	5.72	0.9267	--	1554	--	Russian
косметика	2769	5.72	1.1787	--	3385	--	cosmetics
хранить	2770	5.72	1.0309	3704	--	--	store
сумма	2771	5.72	0.8816	--	--	2212	amount
позволю	2772	5.72	0.8816	2030	--	--	let
возможно	2773	5.72	0.8091	195	721	440	perhaps
своими	2774	5.72	0.7835	770	857	586	their
совпадение	2775	5.72	0.8816	3855	--	--	coincidence
услышать	2776	5.72	0.7010	1426	3260	--	hear
магазина	2777	5.72	0.8581	4036	4127	--	Shop
голос	2778	5.72	1.0309	880	715	1037	voice
таня	2779	5.72	1.1073	--	4543	--	Tanya
столик	2780	5.72	0.9697	4148	--	--	table
источники	2781	5.72	0.8340	--	--	2461	sources
альбом	2782	5.72	0.8581	--	921	--	album
rus	2783	5.72	0.9044	--	3598	--	rus
ощущение	2784	5.72	1.0110	2864	1148	--	feeling
первом	2785	5.72	0.9485	2653	1480	1014	first
думай	2786	5.72	0.8816	1595	4286	--	Think
позволить	2787	5.72	0.9044	1221	--	--	let
личный	2788	5.72	0.8091	4573	4088	--	personal
романе	2789	5.72	0.8816	--	--	3759	novel
широких	2790	5.72	0.7296	--	--	2745	wide
most	2791	5.72	0.9485	--	1623	--	most
авторов	2792	5.72	0.8581	--	--	1523	authors
приняла	2793	5.72	0.8091	4429	--	--	adopted
пишет	2794	5.72	0.8340	2971	966	876	writes
вечера	2795	5.72	0.9267	1524	1083	2648	pm
школе	2796	5.72	0.9697	818	671	1533	School
знаем	2797	5.72	0.9485	512	3082	2910	know
признаться	2798	5.72	1.0110	3339	--	--	confess
господи	2799	5.72	1.5124	273	1168	4723	Jesus
fans	2800	5.72	1.0309	--	1540	--	fans
утрам	2801	5.72	1.0506	--	3484	--	morning
яйца	2802	5.72	1.2623	1383	1535	--	eggs
ордена	2803	5.72	0.8816	--	--	4123	Order
ого	2804	5.72	1.2623	1648	1714	--	On
капитал	2805	5.72	1.1613	--	--	3679	capital
найти	2806	5.72	0.8091	259	413	859	find
увидим	2807	5.72	0.8091	2799	--	--	see
узнать	2808	5.72	0.7570	536	644	2733	discover
занимаются	2809	5.72	0.7010	4589	--	--	deal
силах	2810	5.72	0.9267	3594	--	4890	Forces
норрис	2811	5.72	1.0887	--	3028	--	Norris
снегом	2812	5.72	1.0887	--	3612	--	snow
создан	2813	5.72	0.8816	--	--	4033	created
единого	2814	5.72	0.8091	--	--	2891	single
объясню	2815	5.72	0.7835	2387	--	--	explain
сходство	2816	5.72	0.8091	--	--	4112	similarity
узнаем	2817	5.72	0.8581	2881	--	--	learn
моём	2818	5.72	0.8581	1817	4597	--	my
земли	2819	5.72	0.9906	1030	3413	270	land
журнале	2820	5.72	0.8816	--	--	3104	Journal
ехать	2821	5.72	0.8581	851	1119	4216	go
горизонта	2822	5.72	0.9697	--	--	4758	horizon
принес	2823	5.72	0.7835	1718	--	--	brought
чикаго	2824	5.72	1.3254	2624	--	--	Chicago
напишу	2825	5.72	0.7570	4940	2022	--	write
посмотри	2826	5.72	0.9267	318	1226	--	Look
ест	2827	5.72	0.8340	3784	--	--	eating
совершить	2828	5.72	0.9697	4409	--	--	commit
вскоре	2829	5.72	0.7010	2888	--	1066	soon
способствовать	2830	5.72	0.8816	--	--	4392	help
наш	2831	5.72	0.7835	264	516	603	our
собирать	2832	5.72	0.7835	4668	4778	--	collect
always	2833	5.72	0.9485	--	1655	--	always
принять	2834	5.72	0.7835	1042	3008	913	take
вход	2835	5.72	0.8091	3081	3764	--	input
парней	2836	5.72	0.8581	1475	2745	--	boys
поговорить	2837	5.72	0.9044	270	2843	--	talk
эффекта	2838	5.70	0.9313	--	--	3115	effect
меню	2839	5.70	0.9091	--	4337	--	menu
мою	2840	5.70	1.0152	284	633	2084	my
взгляни	2841	5.70	0.7626	2001	--	--	Look
делает	2842	5.70	0.8391	464	789	1443	makes
разговаривать	2843	5.70	0.9742	1508	3795	--	talk
осуществлять	2844	5.70	0.9742	--	--	4801	exercise
hair	2845	5.70	0.9530	--	3389	--	hair
слышу	2846	5.70	0.6468	948	2589	--	I hear
ленинград	2847	5.70	1.0926	--	--	3977	Leningrad
планы	2848	5.70	0.8391	1614	1312	1991	plans
гражданин	2849	5.70	0.8391	--	4991	--	citizen
майя	2850	5.70	1.1824	4914	2014	--	Maya
свои	2851	5.70	0.7071	244	316	181	their
мистер	2852	5.70	0.8864	140	--	--	Mr.
дневник	2853	5.70	0.8631	4601	3977	--	diary
мак	2854	5.70	1.0926	2872	--	--	poppy
водных	2855	5.70	0.9530	--	--	4620	Water
погода	2856	5.70	0.9949	3310	712	--	weather
языке	2857	5.70	0.8391	2824	3903	618	language
подъема	2858	5.70	0.8864	--	--	3400	Lift
род	2859	5.70	1.0546	--	--	1188	race
появляются	2860	5.70	0.7071	--	--	3196	appear
представления	2861	5.70	0.9530	--	--	1543	submission
думаешь	2862	5.70	0.7890	182	1252	--	think
машины	2863	5.70	0.8391	681	1373	1087	machinery
историческое	2864	5.70	0.8144	--	--	4654	historical
защиты	2865	5.70	1.0546	3122	--	1787	protection
ощущения	2866	5.70	0.9949	--	4810	--	feeling
сохранение	2867	5.70	0.8864	--	--	4662	preservation
снов	2868	5.70	0.9313	--	1047	--	dreams
вернуться	2869	5.70	1.0738	500	2732	4246	return
зная	2870	5.70	0.7890	3370	4147	2592	knowing
наверняка	2871	5.70	0.7354	1189	3725	--	for sure
телефону	2872	5.70	0.7354	1445	2394	--	phone
возникновение	2873	5.70	0.8864	--	--	4195	emergence
заняться	2874	5.70	0.7071	1655	2233	--	to do
исследование	2875	5.70	0.8391	--	--	665	research
длинный	2876	5.70	0.9949	4621	--	--	long
secret	2877	5.70	1.1112	--	4536	--	secret
американский	2878	5.70	1.3740	4397	3071	--	American
рост	2879	5.70	0.9313	4820	2549	654	growth
звучит	2880	5.70	0.8391	859	2124	--	sounds
характер	2881	5.70	0.9530	4324	3662	294	character
матч	2882	5.70	1.0152	--	1703	--	match
корабль	2883	5.70	0.9091	867	--	--	ship
широком	2884	5.70	0.9530	--	--	3816	wide
подумаю	2885	5.70	0.9091	4446	--	--	think about it
открою	2886	5.70	0.8391	3379	--	--	open
студентов	2887	5.70	0.8864	--	3111	1934	students
двигайся	2888	5.70	0.9091	2146	--	--	move
поля	2889	5.70	1.0546	3225	--	568	field
полно	2890	5.70	1.0738	1462	--	3408	full
-да	2891	5.70	1.0546	--	4986	--	Da
сцена	2892	5.70	0.8631	4521	--	--	scene
season	2893	5.70	0.8864	--	3793	--	season
летит	2894	5.70	0.9091	4014	3907	--	flies
she	2895	5.70	1.0351	--	466	--	she
зерна	2896	5.70	0.9313	--	--	1600	Grain
ольга	2897	5.70	1.0546	--	2566	--	Olga
краснодар	2898	5.70	1.0351	--	4735	--	Krasnodar
применять	2899	5.70	0.9091	--	--	3895	apply
рулит	2900	5.70	1.3439	--	4966	--	taxis
колледжа	2901	5.70	0.8631	4860	--	--	College
владелец	2902	5.70	1.0546	3733	--	--	owner
идём	2903	5.70	0.8144	926	--	--	go
наиболее	2904	5.70	0.8144	3546	4507	159	most
переписка	2905	5.70	0.9742	--	1963	--	correspondence
позволяют	2906	5.70	0.7890	--	--	1931	allow
лежу	2907	5.70	1.0926	--	2785	--	lying
находилась	2908	5.70	0.9742	--	--	4010	was
новгород	2909	5.70	0.9091	--	4474	--	Novgorod
скорости	2910	5.70	0.8631	3874	--	663	velocities
стиле	2911	5.70	0.8391	4868	2375	--	style
international	2912	5.70	1.2330	--	2973	--	international
глазами	2913	5.70	1.0351	1710	1709	1240	eyes
вернутся	2914	5.70	0.9949	3745	--	--	return
разумеется	2915	5.70	0.9742	1214	--	1160	of course
закончила	2916	5.70	1.0738	3524	--	--	finished
вернется	2917	5.70	1.0546	1505	--	--	return
спрашивай	2918	5.70	0.7626	4825	--	--	Ask
языках	2919	5.70	0.9742	--	--	2276	languages
елены	2920	5.70	1.0152	--	2103	--	elena
нашего	2921	5.70	0.8144	632	1389	460	our
местечко	2922	5.70	1.0152	3821	--	--	place
союз	2923	5.70	1.1824	--	4019	994	union
прочности	2924	5.70	0.9091	--	--	4011	strength
присаживайтесь	2925	5.70	0.9313	4609	--	--	have a seat
сообщил	2926	5.70	0.7890	4867	3800	4519	reported
научно	2927	5.70	0.8391	--	--	412	scientifically
сохранить	2928	5.70	0.6776	2433	4269	2962	save
позволил	2929	5.70	0.8144	3235	--	--	allowed
образ	2930	5.70	0.8391	3752	2931	936	image
подробности	2931	5.70	0.7354	--	850	--	Details
нхл	2932	5.70	0.9949	--	4415	--	NHL
идет	2933	5.70	0.7626	535	484	446	is
натали	2934	5.70	1.1112	4349	--	--	Natalie
собрались	2935	5.70	0.8391	2619	3710	--	gathered
движением	2936	5.70	1.0351	--	--	3559	motion
желая	2937	5.70	0.9091	--	--	3927	Desiring
уверяю	2938	5.70	1.0152	4150	--	--	I assure
конкурса	2939	5.70	1.1294	--	2819	--	Competition
твоей	2940	5.70	0.9742	334	1214	4655	your
множество	2941	5.70	0.9091	2731	--	1260	many
войдите	2942	5.70	0.8391	4858	--	--	Login
продолжать	2943	5.70	0.8391	1442	--	4156	continue
микки	2944	5.70	1.1995	3851	--	--	mickey
постоянного	2945	5.70	0.7354	--	--	3614	DC
непременно	2946	5.70	0.9742	4897	--	2747	certainly
давать	2947	5.70	0.9530	2485	3750	2550	give
рассказала	2948	5.70	0.8391	2145	--	--	told
наших	2949	5.68	0.7677	559	1066	522	our
пойдёмте	2950	5.68	0.8908	4647	--	--	come on
сайты	2951	5.68	1.0190	--	3796	--	sites
освоения	2952	5.68	0.7126	--	--	3595	development
простого	2953	5.68	0.7677	--	--	4956	simple
специалисты	2954	5.68	1.1328	--	--	4738	experts
рассказа	2955	5.68	0.8437	--	--	4981	story
джерри	2956	5.68	1.0388	2412	--	--	Jerry
учебу	2957	5.68	1.2526	--	3679	--	study
сыграет	2958	5.68	0.9570	--	3805	--	play
принесли	2959	5.68	0.6833	3461	--	--	brought
смотрим	2960	5.68	0.7677	--	1719	--	watch
росту	2961	5.68	0.8192	--	--	4117	growth
более	2962	5.68	0.8192	285	255	49	more
российской	2963	5.68	0.9781	--	1684	853	Russian
городе	2964	5.68	0.9570	844	919	1226	town
эвм	2965	5.68	0.9988	--	--	3324	computer
произвести	2966	5.68	0.7407	--	--	4976	produce
холодильнике	2967	5.68	1.0962	--	4160	--	refrigerator
remember	2968	5.68	0.9570	--	4385	--	remember
поезде	2969	5.68	0.8437	3628	--	--	train
опыта	2970	5.68	0.7677	--	--	884	Experience
наук	2971	5.68	0.9570	--	--	368	Science
начнем	2972	5.68	0.7939	1726	--	--	start
укрепления	2973	5.68	0.9781	--	--	2824	strengthening
обладают	2974	5.68	0.8437	--	--	3383	have
рекомендации	2975	5.68	0.8908	--	--	3829	recommendations
ноут	2976	5.68	1.2196	--	4005	--	laptop
build	2977	5.68	1.0388	--	4890	--	build
за	2978	5.68	0.7407	20	13	17	for
привезли	2979	5.68	0.7407	3689	4689	--	brought
команде	2980	5.68	0.9570	2355	--	--	team
пришёл	2981	5.68	0.9355	1032	4502	--	come
узнайте	2982	5.68	0.7126	--	1300	--	learn
own	2983	5.68	0.9988	--	4592	--	own
целиком	2984	5.68	0.8676	--	--	2899	entirely
обещает	2985	5.68	0.8192	--	2826	--	promises
движется	2986	5.68	0.6833	4550	--	--	moves
произведений	2987	5.68	0.8908	--	--	1201	works
взгляд	2988	5.68	0.9355	1757	1690	922	view
выпуск	2989	5.68	1.0388	--	1277	2505	issue
обеспечивает	2990	5.68	0.7677	--	--	2345	provides
лодку	2991	5.68	0.8908	4134	--	--	boat
работать	2992	5.68	1.0774	461	561	1048	work
автором	2993	5.68	0.7407	--	--	2565	author
единой	2994	5.68	0.9988	--	1225	2907	single
аня	2995	5.68	1.0190	--	2619	--	Anya
выбрать	2996	5.68	0.9134	2404	2274	--	choose
новости	2997	5.68	0.8192	895	307	--	news
начну	2998	5.68	0.6528	3409	2890	--	start
полях	2999	5.68	0.9134	--	--	3731	fields
альбома	3000	5.68	0.9134	--	4945	--	album
моих	3001	5.68	0.6528	478	754	2285	my
отмечал	3002	5.68	1.0190	--	--	3961	noted
проект	3003	5.68	0.8192	3004	687	1872	project
сделают	3004	5.68	0.6833	3111	--	--	will
начинает	3005	5.68	0.6833	1790	1293	1951	begins
даю	3006	5.68	0.9570	1873	--	--	give
news	3007	5.68	0.8192	--	1421	--	news
сторонников	3008	5.68	0.7939	--	3272	--	supporters
поле	3009	5.68	0.8437	1484	3382	629	field
слушаешь	3010	5.68	0.8437	3182	--	--	listen
хватает	3011	5.68	1.1147	1109	701	--	enough
начал	3012	5.68	0.6833	919	1073	902	started
по-моему	3013	5.68	0.9781	--	1646	--	in my opinion
едешь	3014	5.68	0.7126	2884	--	--	you go
коллеги	3015	5.68	0.9134	--	4922	--	Colleagues
покажу	3016	5.68	0.7677	1029	--	--	show
решил	3017	5.68	0.8437	618	748	1964	decided
патрик	3018	5.68	1.0774	4832	--	--	Patrick
двор	3019	5.68	0.7677	--	--	2578	yard
поднял	3020	5.68	0.8192	--	--	4601	raised
digital	3021	5.68	0.8192	--	4684	--	digital
оставайся	3022	5.68	0.9355	1943	--	--	Stay
город	3023	5.68	1.0388	550	381	672	city
собираюсь	3024	5.68	0.8192	554	1561	--	going
марина	3025	5.68	0.9134	--	3958	--	marina
будешь	3026	5.68	0.7677	219	496	4080	will
внимания	3027	5.68	0.9134	1406	3018	1043	attention
anna	3028	5.68	1.0583	--	3952	--	anna
софи	3029	5.68	1.0583	3323	--	--	Sophie
смысла	3030	5.68	0.8437	2136	2440	3225	meaning
привез	3031	5.68	0.8676	4625	--	--	brought
приму	3032	5.68	0.6207	4959	--	--	accept
александра	3033	5.68	1.0388	--	3392	1658	alexander
ролик	3034	5.68	0.7677	--	3023	--	roller
словарь	3035	5.68	1.0388	--	--	3682	dictionary
согласно	3036	5.68	0.7939	2044	4108	561	according to
андроид	3037	5.68	1.3619	--	4469	--	android
представлений	3038	5.68	0.7939	--	--	3391	views
looking	3039	5.68	0.8676	--	2825	--	looking
появилось	3040	5.68	0.7939	--	3564	--	appeared
представляют	3041	5.68	0.7677	--	--	1295	are
студии	3042	5.68	0.8908	--	4378	--	studio
разговаривает	3043	5.66	0.6263	4297	--	--	talking
продолжает	3044	5.66	0.7174	2999	3434	3162	continues
существенное	3045	5.66	0.7982	--	--	4065	significant
создании	3046	5.66	0.7453	--	--	2038	creation
торговля	3047	5.66	0.7982	--	--	3265	trade
собственности	3048	5.66	1.0616	--	--	1114	Property
своей	3049	5.66	0.7982	234	328	105	its
спи	3050	5.66	1.0224	3485	--	--	sleep
бери	3051	5.66	1.0994	1353	3843	--	take
возвращайтесь	3052	5.66	1.1713	3271	--	--	return
гору	3053	5.66	0.7174	4917	--	--	Mount
состоится	3054	5.66	0.7722	--	2179	--	held
заказать	3055	5.66	0.8715	4766	4165	--	order
останусь	3056	5.66	0.8234	1835	--	--	'll stay
источника	3057	5.66	0.9392	--	--	2553	source
красного	3058	5.66	0.9607	--	--	2968	red
письме	3059	5.66	0.7722	--	--	1812	letter
da	3060	5.66	1.1713	--	2001	--	da
сегодня	3061	5.66	0.6581	109	39	483	today
америка	3062	5.66	1.3793	3211	--	--	America
посмотрите	3063	5.66	0.6581	667	2197	--	look
пёс	3064	5.66	1.2554	4794	--	--	dog
слушаю	3065	5.66	0.6884	1626	838	--	listen
up	3066	5.66	1.0422	--	544	--	up
прямого	3067	5.66	0.7174	--	--	4498	direct
опытом	3068	5.66	0.7453	--	--	3494	experience
похожа	3069	5.66	0.7453	2022	2595	--	similar
phone	3070	5.66	0.9172	--	3593	--	phone
пойдёт	3071	5.66	0.7453	2865	--	--	will
чаще	3072	5.66	0.8234	3712	1187	966	more
звонит	3073	5.66	0.9392	1909	2955	--	calls
получит	3074	5.66	0.7174	2306	2900	--	will
станем	3075	5.66	0.9172	4607	--	--	become
подъем	3076	5.66	1.0994	--	--	3819	rise
вспоминаю	3077	5.66	0.9392	--	3394	--	remember
саша	3078	5.66	0.9607	4422	1746	--	Sasha
исторической	3079	5.66	0.8234	--	--	1459	historical
поедешь	3080	5.66	0.7722	2921	--	--	will go
зa	3081	5.66	0.8234	4316	--	--	za
начнется	3082	5.66	0.6884	3807	2521	--	will
людях	3083	5.66	0.7982	3282	3744	--	people
казани	3084	5.66	1.0616	--	4116	--	kazan
реальности	3085	5.66	0.8715	4105	--	--	reality
писать	3086	5.66	0.7453	1404	422	1519	write
сообщения	3087	5.66	0.7174	3607	1784	2284	messages
моими	3088	5.66	0.9817	2204	4383	--	my
соответствует	3089	5.66	0.7722	--	--	1296	matches
body	3090	5.66	0.8234	--	2960	--	body
принадлежит	3091	5.66	0.9392	1904	--	1609	belongs
взгляните	3092	5.66	0.7722	2814	--	--	have a look
оценить	3093	5.66	0.7982	--	--	3859	estimate
рассказывает	3094	5.66	0.7722	--	4703	4146	says
участвовать	3095	5.66	0.8947	4146	--	--	participate
масло	3096	5.66	0.7453	4000	--	--	oil
здравоохранения	3097	5.66	1.1713	--	--	4837	Health
давай	3098	5.66	0.6581	72	314	--	come on
начинайте	3099	5.66	0.8478	4184	--	--	start
трейлер	3100	5.66	0.9392	--	2546	--	trailer
прямых	3101	5.66	0.7453	--	--	4761	direct
посмотреть	3102	5.66	0.6263	539	493	--	see
dj	3103	5.66	1.1537	--	1340	--	dj
началась	3104	5.66	0.7722	3200	1970	2990	started
работает	3105	5.66	0.9392	513	584	2023	works
сне	3106	5.66	1.0022	2118	2068	--	dream
принял	3107	5.66	0.7982	2054	2463	1925	accepted
силу	3108	5.66	1.1359	1670	2779	453	force
будь	3109	5.66	0.7453	371	739	2610	whether
школах	3110	5.66	0.8947	--	--	4467	schools
лица	3111	5.66	0.8234	1399	1444	528	face
кореша	3112	5.66	1.5334	--	2658	--	chum
информации	3113	5.66	0.8478	2432	2357	722	Information
большинство	3114	5.66	1.0224	1435	1619	819	most
сцену	3115	5.66	0.8234	3030	--	--	scene
#вконтакте	3116	5.66	1.2875	--	1279	--	# VKontakte
йоу	3117	5.66	1.2715	--	4791	--	yo
будьте	3118	5.66	1.0806	1053	1849	--	Be
продолжал	3119	5.66	0.6581	--	--	2502	continued
воспоминания	3120	5.66	0.9392	2735	4278	3087	memoirs
москвы	3121	5.66	1.2056	--	467	1111	moscow
продолжается	3122	5.66	0.6884	3351	3528	--	continues
#sport	3123	5.66	0.9607	--	4141	--	# Sport
послушать	3124	5.66	1.0616	2697	2932	--	listen
работаю	3125	5.66	1.2056	944	2322	--	working
подумала	3126	5.66	0.7982	1340	2481	--	thought
германии	3127	5.66	1.0022	3298	2187	924	Germany
главного	3128	5.66	1.0994	4495	3654	1617	Chief
послушайте	3129	5.66	0.9392	708	--	--	look here
разговариваешь	3130	5.66	0.8715	4751	--	--	talk
сильно	3131	5.66	1.0224	590	511	615	strongly
пойдём	3132	5.66	0.7722	848	--	--	go
нашим	3133	5.66	0.7982	1237	1349	2183	our
высоко	3134	5.66	0.8715	3123	--	2181	high
маленькая	3135	5.66	1.2224	998	1912	--	petite
portable	3136	5.66	0.9172	--	1926	--	portable
делаете	3137	5.66	0.8947	651	--	--	do
флаг	3138	5.66	0.9607	--	4431	--	flag
равной	3139	5.66	0.8478	--	--	4037	equal
американской	3140	5.66	1.4654	--	--	3335	American
особенность	3141	5.66	0.7982	--	--	3470	feature
постоянной	3142	5.66	0.8947	--	--	2511	constant
новостей	3143	5.66	1.0806	4582	2314	--	News
думают	3144	5.66	0.7982	1366	1896	--	think
народный	3145	5.66	1.0224	--	--	3834	folk
анна	3146	5.66	1.0616	1149	3989	3516	Anna
рядом	3147	5.66	0.7453	409	414	643	next
ночи	3148	5.66	1.1178	383	251	1955	night
исследованиях	3149	5.66	0.8234	--	--	3923	research
сделать	3150	5.66	0.5928	135	216	466	do
особую	3151	5.66	1.0224	--	--	3752	special
спит	3152	5.66	0.9607	1556	1657	--	sleeps
компания	3153	5.66	0.8715	1976	733	--	company
решить	3154	5.66	0.9607	2098	3462	2829	solve
