Word	Havg	StDev	GoogleRank	TwitterRank	translation
apartamento	1358	6.82	1.2070	1432	--	apartment
sentimentos	1359	6.82	1.4665	4623	1095	feelings
carro	1360	6.82	1.1899	633	715	car
copacabana	1361	6.82	1.8592	6045	--	copacabana
chances	1362	6.80	1.1429	--	3395	chances
originais	1363	6.80	1.2122	3904	--	original
aprendemos	1364	6.80	1.1780	--	4907	learned
salvo	1365	6.80	1.2778	5486	--	save
design	1366	6.80	1.2122	660	--	design
mpb	1367	6.80	1.7843	4495	--	mpb
parceiros	1368	6.80	1.0880	938	4084	partners
avião	1369	6.80	1.5779	4774	4196	plane
ursinho	1370	6.80	1.1780	--	5948	teddy
diversidade	1371	6.80	1.2778	5234	--	diversity
vÍdeos	1372	6.80	1.2289	4668	--	Videos
clássico	1373	6.80	1.2617	3105	6234	classic
maturidade	1374	6.80	1.2936	--	5659	maturity
book	1375	6.80	1.3401	4975	--	book
irma	1376	6.80	1.4286	--	1452	sister
exterior	1377	6.80	1.3093	1856	--	exterior
acredite	1378	6.80	1.1952	--	1404	Believe
menina	1379	6.80	1.2289	2158	358	girl
nasci	1380	6.80	1.2289	--	2311	born
historia	1381	6.80	1.3248	4270	1657	history
lançamentos	1382	6.80	1.2454	2623	--	releases
master	1383	6.80	1.0498	2715	6269	master
brinco	1384	6.80	1.4846	--	4635	earring
world	1385	6.80	1.6162	994	2078	world
kk'	1386	6.80	1.5649	--	706	kk '
ajudou	1387	6.80	1.3401	--	5150	helped
londres	1388	6.80	1.5649	3739	--	London
fortaleza	1389	6.80	1.3997	1159	3041	fortress
descoberta	1390	6.80	1.3997	6112	--	discovery
posso	1391	6.80	1.4142	1203	277	I
certos	1392	6.80	1.2454	6398	3093	some
liberação	1393	6.80	1.1066	6399	--	liberation
esporte	1394	6.80	1.9060	782	3180	sport
novos	1395	6.78	1.3746	401	1285	new
forças	1396	6.78	1.3138	3250	2606	forces
especialista	1397	6.78	1.3596	4470	5898	expert
automóveis	1398	6.78	1.2982	1435	--	cars
mundial	1399	6.78	1.6199	936	1402	worldwide
investimento	1400	6.78	1.5817	2274	--	investment
nirvana	1401	6.78	2.0433	--	5960	nirvana
creative	1402	6.78	1.5292	3296	--	creative
aceito	1403	6.78	1.1301	5157	2415	accepted
exclusiva	1404	6.78	1.1480	4060	--	exclusive
países	1405	6.78	1.3138	841	--	countries
universidades	1406	6.78	1.2824	2036	--	universities
iluminacao	1407	6.78	1.0934	2809	--	lighting
quinta-feira	1408	6.78	1.2824	1221	4733	Thursday
entendimento	1409	6.78	1.3596	4966	--	understanding
mp3	1410	6.78	1.4184	584	--	mp3
sports	1411	6.78	1.7296	4423	--	sports
power	1412	6.78	1.4039	1587	3477	power
bis	1413	6.78	1.3746	--	6050	bis
comprar	1414	6.78	1.3138	283	446	buy
planos	1415	6.78	1.1301	2001	1310	plans
hello	1416	6.78	1.2002	5295	2204	hello
cães	1417	6.78	1.7530	4120	--	dogs
camarote	1418	6.78	1.1830	--	5285	cabin
gosta	1419	6.78	1.4886	2106	328	like
encontro	1420	6.78	1.1657	855	1598	meeting
celular	1421	6.78	1.5292	478	326	cellular
colegas	1422	6.78	1.1657	4509	4731	colleagues
fã	1423	6.78	1.2664	4573	565	fan
#sorteio	1424	6.78	1.5292	--	3985	# Draw
global	1425	6.78	1.6573	1321	--	global
idioma	1426	6.78	1.4327	1495	--	language
entendendo	1427	6.78	1.2171	--	5025	understanding
chegamos	1428	6.78	1.1480	--	3982	we
tios	1429	6.78	1.4184	--	6422	uncles
prata	1430	6.78	1.1480	1688	5525	silver
ensino	1431	6.78	1.5158	446	4156	teaching
toddynho	1432	6.78	1.7058	--	5968	Toddynho
news	1433	6.78	1.0746	1044	4249	news
culturais	1434	6.78	1.5687	2940	--	cultural
vestido	1435	6.78	1.5292	5033	1726	dress
novinha	1436	6.78	1.4039	--	1699	brand new
parentes	1437	6.78	1.3445	--	4694	kin
cão	1438	6.78	1.6938	4326	3818	dog
house	1439	6.78	1.3293	2445	2610	house
dicas	1440	6.78	0.9538	326	2849	tips
acadêmico	1441	6.78	1.3445	5752	--	academic
humana	1442	6.78	1.3893	2249	--	human
brasileirão	1443	6.78	1.3596	5008	4323	Brasileirão
decoracao	1444	6.76	1.0797	1719	--	decoration
audi	1445	6.76	1.4923	4302	--	audi
cidadãos	1446	6.76	1.2867	5039	--	citizens
acabeei	1447	6.76	1.5722	--	4456	acabeei
samba	1448	6.76	1.8020	1973	2504	samba
multimídia	1449	6.76	1.3637	1994	--	multimedia
pet	1450	6.76	1.4365	3057	--	pet
capacitação	1451	6.76	1.2867	4264	--	capacity
carreiras	1452	6.76	1.1877	4195	--	careers
ação	1453	6.76	1.2216	687	3427	action
perdão	1454	6.76	1.7090	--	3778	forgiveness
profissionais	1455	6.76	1.3024	912	--	Professional
iluminação	1456	6.76	1.2048	3642	--	lighting
musicais	1457	6.76	1.6606	1583	--	musical
televisão	1458	6.76	1.5059	1876	5084	TV
escolhida	1459	6.76	1.2545	5384	--	chosen
thank	1460	6.76	1.3334	--	2572	thank
holanda	1461	6.76	1.4786	3835	--	Netherlands
create	1462	6.76	1.3024	4939	--	create
baladas	1463	6.76	1.7792	5416	--	ballads
transformação	1464	6.76	1.2545	5404	--	transformation
européia	1465	6.76	1.1528	5151	--	European
sentir	1466	6.76	1.2216	2869	443	feel
vips	1467	6.76	1.4786	--	5733	VIPs
encontramos	1468	6.76	1.4365	--	5350	found
palmas	1469	6.76	1.3637	5678	5766	palms
ambiental	1470	6.76	1.2707	1288	--	environmental
performance	1471	6.76	1.3024	3729	--	performance
colaboração	1472	6.76	1.2707	2386	--	collaboration
atitudes	1473	6.76	1.1168	--	1538	attitudes
leitores	1474	6.76	1.1877	2145	--	readers
green	1475	6.76	1.2545	3922	5706	green
artistas	1476	6.76	1.0412	1021	--	artists
eu	1477	6.76	1.4647	33	7	I
ducha	1478	6.76	1.2048	--	5829	douche
vídeo	1479	6.76	1.1528	179	968	video
hoteis	1480	6.76	1.2216	2056	--	hotels
atualizado	1481	6.76	1.1704	2098	--	updated
grécia	1482	6.76	1.7209	6294	--	Greece
durma	1483	6.76	1.3024	--	3980	sleep
mercedes	1484	6.76	1.6606	6051	--	mercedes
europe	1485	6.76	1.5460	5923	--	europe
muitoo	1486	6.76	1.3334	--	1693	muitoo
atriz	1487	6.76	1.1350	4297	5358	actress
futebol	1488	6.76	1.4647	450	964	football
invenção	1489	6.76	1.1704	3589	--	invention
garota	1490	6.76	1.6606	4101	1087	girl
precisão	1491	6.76	1.3933	3267	--	precision
banho	1492	6.76	1.1528	1748	215	bath
equipe	1493	6.76	1.1168	682	2613	team
penta	1494	6.76	1.6850	--	1975	penta
realize	1495	6.76	1.1168	--	4214	perform
mensagens	1496	6.76	1.2216	110	2279	posts
graças	1497	6.76	1.4923	3440	1075	thanks
ondas	1498	6.76	1.6107	5924	--	waves
bens	1499	6.76	1.2048	2191	--	goods
nutrição	1500	6.76	1.3486	3685	--	nutrition
fortalece	1501	6.76	1.3637	--	4988	strengthens
ooooi	1502	6.74	1.3219	--	2045	ooooi
amiguinho	1503	6.74	1.1031	--	5677	buddy
vestir	1504	6.74	1.5228	--	5607	dress
compartilhe	1505	6.74	1.3524	2400	--	share
fazendas	1506	6.74	1.4820	6255	--	farms
flora	1507	6.74	1.2423	6368	--	flora
relações	1508	6.74	1.1572	1404	--	relations
pensamentos	1509	6.74	1.3063	3298	2132	thoughts
ativa	1510	6.74	1.3219	4635	--	active
fofinha	1511	6.74	1.6880	--	4854	fofinha
planejamento	1512	6.74	1.3219	1613	--	planning
aeroporto	1513	6.74	1.4259	1434	3785	airport
padaria	1514	6.74	1.4542	--	3590	bakery
trabalhar	1515	6.74	1.5361	1675	972	work
vôlei	1516	6.74	1.3822	5903	--	volleyball
ampliar	1517	6.74	1.0461	2112	--	enlarge
possibilidade	1518	6.74	1.3063	1909	--	possibility
quadrinhos	1519	6.74	1.0654	4424	--	comics
úteis	1520	6.74	1.3372	2935	--	useful
e-mail	1521	6.74	1.3969	83	3002	e-mail
carreira	1522	6.74	1.2586	1797	4536	career
recebi	1523	6.74	1.1920	5629	1700	received
wikipédia	1524	6.74	1.5093	823	--	wikipedia
technology	1525	6.74	1.3674	5569	--	technology
d+	1526	6.74	1.5361	--	1793	d +
portugues	1527	6.74	1.6880	4962	4051	Portuguese
well	1528	6.74	1.2090	--	5918	well
estádio	1529	6.74	1.5093	4510	5081	stadium
eternidade	1530	6.74	1.7001	--	4279	eternity
pronta	1531	6.74	1.0264	4066	2428	ready
deitar	1532	6.74	1.2906	--	1365	bed
moradia	1533	6.74	1.5624	5278	--	dwelling
english	1534	6.74	1.6759	512	--	Inglês
bares	1535	6.74	1.2423	1330	--	bars
gostaram	1536	6.74	1.2257	--	5199	liked
fãs	1537	6.74	1.3674	2758	1002	fans
recomeçar	1538	6.74	1.4542	--	5331	start
certeza	1539	6.74	1.2906	1593	482	certainty
tia	1540	6.74	1.2906	6176	644	aunt
live	1541	6.74	1.1214	860	148	live
clima	1542	6.72	1.2784	3052	2022	climate
bike	1543	6.72	1.1959	5056	3739	bike
album	1544	6.72	1.3254	2988	2675	album
compatível	1545	6.72	1.0110	5800	--	compatible
viola	1546	6.72	1.4714	4965	--	viola
espaço	1547	6.72	1.2784	545	2720	space
likes	1548	6.72	1.3559	--	5944	likes
meninas	1549	6.72	1.4714	2039	622	girls
azul	1550	6.72	1.1959	1249	1785	blue
formada	1551	6.72	1.4148	6381	--	formed
rio	1552	6.72	1.4574	61	731	river
turma	1553	6.72	1.1959	2079	1945	gang
compra	1554	6.72	1.4148	543	800	purchase
resolvidas	1555	6.72	1.3254	5282	--	resolved
perspectivas	1556	6.72	1.2461	6147	--	perspectives
passagens	1557	6.72	1.3856	6019	--	passages
joinha	1558	6.72	1.5124	--	4892	joinha
encontrar	1559	6.72	1.1613	776	757	find
hospedagem	1560	6.72	1.4148	1438	--	accommodation
ingles	1561	6.72	1.3407	--	2924	English
game	1562	6.72	1.3856	1429	1766	game
investimentos	1563	6.72	1.3254	1815	--	investments
capazes	1564	6.72	1.3099	6391	6187	able
marido	1565	6.72	1.5524	3778	2345	husband
sport	1566	6.72	1.5524	2329	5751	sport
sea	1567	6.72	1.3254	4452	--	sea
vontade	1568	6.72	1.2129	1470	259	will
desenvolver	1569	6.72	1.1959	3093	--	develop
jogos	1570	6.72	1.3708	111	1852	games
dedicar	1571	6.72	1.0698	--	6342	devote
clientes	1572	6.72	1.4574	1107	--	customers
ahah	1573	6.72	1.3559	--	5992	ahah
eletroeletronicos	1574	6.72	1.2129	2710	--	electronics
existir	1575	6.72	1.4291	5458	1971	exist
memoria	1576	6.72	1.2623	5123	--	memory
merece	1577	6.72	1.2296	4817	609	deserves
skype	1578	6.72	1.3254	--	2648	skype
crescente	1579	6.72	1.0698	4854	--	growing
barcelona	1580	6.72	1.4291	4140	1138	barcelona
convidados	1581	6.72	1.1787	4772	--	guests
achei	1582	6.72	1.2943	2490	660	found
aprendeu	1583	6.72	1.3708	--	3640	learned
receberá	1584	6.72	1.3559	5587	--	receive
disponíveis	1585	6.72	1.0698	1969	--	available
conversar	1586	6.72	1.2296	--	912	talk
laranja	1587	6.72	1.4291	4753	3699	orange
entendi	1588	6.70	0.9949	--	1059	got it
amigaa	1589	6.70	1.6933	--	4785	amigaa
famosas	1590	6.70	1.3132	5501	--	famous
portátil	1591	6.70	1.1650	4247	--	portable
colega	1592	6.70	1.1995	5868	2602	colleague
salmos	1593	6.70	1.5017	--	5235	Psalms
junto	1594	6.70	1.0926	1139	567	together
humanos	1595	6.70	1.4743	1110	5169	human
exatamente	1596	6.70	1.1824	3920	2121	exactly
primas	1597	6.70	1.3286	--	4441	materials
qualificação	1598	6.70	1.2330	3795	--	qualification
muuito	1599	6.70	1.2495	--	1745	muuito
durmo	1600	6.70	1.4743	--	2066	sleep
madrid	1601	6.70	1.5152	4067	4716	madrid
feminino	1602	6.70	1.3740	1388	6196	female
puro	1603	6.70	1.2657	6020	3941	pure
acreditando	1604	6.70	1.1294	--	3638	believing
estudo	1605	6.70	1.2976	736	2922	study
lembrei	1606	6.70	1.3286	--	1042	remembered
aviões	1607	6.70	1.6690	4768	--	aircraft
1st	1608	6.70	1.8434	5676	--	1st
novinho	1609	6.70	1.2330	--	5144	novinho
curiosidades	1610	6.70	1.1650	2603	--	curiosities
desejar	1611	6.70	1.1112	5221	1899	wish
presença	1612	6.70	1.1995	1514	1800	presence
oiie	1613	6.70	1.2817	--	2242	oiie
chuveiro	1614	6.70	1.4321	--	5445	shower
experiências	1615	6.70	1.4178	2970	--	experiences
unido	1616	6.70	1.1824	2052	--	united
veículo	1617	6.70	1.2976	1988	--	vehicle
muito	1618	6.70	1.1650	63	43	very
clubes	1619	6.70	1.4463	1568	4044	clubs
variedade	1620	6.70	1.2817	6291	--	variety
gps	1621	6.70	1.4033	1398	--	gps
contribuir	1622	6.70	1.2657	4795	--	contribute
aproveite	1623	6.70	1.4463	5333	2308	enjoy
bolacha	1624	6.70	1.3590	--	4656	cracker
nação	1625	6.70	1.2817	4867	4601	nation
supermercado	1626	6.70	1.4604	--	6059	supermarket
Único	1627	6.70	1.5286	4861	--	Single
consciência	1628	6.70	1.3887	3271	5846	consciousness
parcerias	1629	6.70	1.1473	2474	--	partnerships
informação	1630	6.70	1.0926	263	5170	information
chegueei	1631	6.70	1.3887	--	3484	chegueei
light	1632	6.70	1.3132	1604	--	light
especializado	1633	6.70	1.2164	6372	--	skilled
espanha	1634	6.70	1.3887	1204	--	Spain
evento	1635	6.70	1.2817	734	3000	event
mil	1636	6.70	1.5152	536	618	thousand
sofá	1637	6.70	1.1995	--	3673	sofa
penso	1638	6.68	1.4061	3777	767	I think
uhuu	1639	6.68	1.6714	--	5921	uhuu
fast	1640	6.68	1.4907	3758	--	fast
verde	1641	6.68	1.3316	797	2108	green
morar	1642	6.68	1.2196	--	2155	live
hehe'	1643	6.68	1.4348	--	2807	hehe '
besos	1644	6.68	1.6218	--	5468	besos
acredita	1645	6.68	1.2362	4094	1227	believes
conversa	1646	6.68	1.2362	2913	851	conversation
desempenho	1647	6.68	1.2526	1860	--	performance
ginástica	1648	6.68	1.3619	5127	--	gymnastics
comendo	1649	6.68	1.4907	--	733	eating
baile	1650	6.68	1.4769	--	2375	ball
gravida	1651	6.68	1.6835	--	6411	Pregnant
surf	1652	6.68	1.6218	4556	--	surf
documentário	1653	6.68	1.4490	5561	--	documentary
praça	1654	6.68	1.1147	2027	1527	square
pessoas	1655	6.68	1.2526	155	89	people
direitos	1656	6.68	1.5178	152	6098	rights
garante	1657	6.68	1.0774	2136	5839	ensures
videos	1658	6.68	1.2027	500	2143	videos
night	1659	6.68	1.3768	1768	1625	night
rápido	1660	6.68	1.3005	2034	1279	fast
rei	1661	6.68	1.7076	1989	2304	king
lojas	1662	6.68	1.2196	424	4482	stores
canadá	1663	6.68	1.6956	2065	--	Canada
hihi'	1664	6.68	1.3468	--	4425	hihi '
modelos	1665	6.68	1.0774	1331	--	models
lançamento	1666	6.68	1.3005	1577	3597	launch
apoio	1667	6.68	1.3161	737	2877	support
mainha	1668	6.68	1.8892	--	3669	mainha
olhar	1669	6.68	1.3468	1792	532	look
contratação	1670	6.68	1.2848	3740	6153	Hiring
magia	1671	6.68	1.4061	5229	4850	magic
funciona	1672	6.68	1.4907	1801	1454	works
criador	1673	6.68	1.3316	5666	--	creator
melhoor	1674	6.68	1.5444	--	4032	melhoor
importantes	1675	6.68	1.4061	2006	3783	important
história	1676	6.68	1.3468	311	820	history
acadêmica	1677	6.68	1.2196	5883	--	academic
eletrônico	1678	6.68	1.1328	1459	--	electronic
personalidades	1679	6.68	1.2526	6072	--	personalities
respeita	1680	6.68	1.4348	--	4185	respect
especialistas	1681	6.68	1.1147	4347	--	experts
italia	1682	6.66	1.5986	5060	--	italia
rosto	1683	6.66	1.2056	3776	1354	countenance
canto	1684	6.66	1.3032	2789	2191	corner
compreende	1685	6.66	1.0806	5611	--	comprises
sáb	1686	6.66	1.7215	3703	--	Sat
cafe	1687	6.66	1.5334	--	4645	cafe
science	1688	6.66	1.3644	5374	--	science
downloads	1689	6.66	1.3342	493	--	downloads
jogando	1690	6.66	1.2715	5905	754	playing
pensar	1691	6.66	1.2875	1676	533	think
visitas	1692	6.66	1.1537	404	--	visits
volteii	1693	6.66	1.2390	--	3055	volteii
medicina	1694	6.66	1.4373	1035	--	medicine
s2	1695	6.66	1.9547	--	65	s2
tio	1696	6.66	1.2056	5286	965	uncle
ambiente	1697	6.66	1.3940	518	--	environment
leituras	1698	6.66	1.3793	5104	--	readings
fama	1699	6.66	1.3188	5147	3462	fame
computação	1700	6.66	1.2715	4397	--	computation
leite	1701	6.66	1.3494	1328	1622	milk
dormindo	1702	6.66	1.3032	--	853	sleeping
resultados	1703	6.66	1.2554	348	3721	results
boca	1704	6.66	1.2554	1917	495	mouth
samsung	1705	6.66	1.2715	1585	--	samsung
japão	1706	6.66	1.5066	1599	3258	Japan
qualificações	1707	6.66	1.4654	4974	--	qualifications
brisa	1708	6.66	1.3644	--	3634	breeze
deseja	1709	6.66	1.2224	1230	2370	want
curiosidade	1710	6.66	1.3494	--	4436	curiosity
boneca	1711	6.66	1.3342	--	5683	doll
queijo	1712	6.66	1.7096	5538	3582	cheese
parceiro	1713	6.66	1.1713	4122	1712	partner
banhoo	1714	6.66	1.3342	--	3791	banhoo
plus	1715	6.66	1.4086	2553	--	plus
rápida	1716	6.66	1.1713	1295	--	fast
escolas	1717	6.66	1.5986	608	--	schools
conhecer	1718	6.66	1.3793	1603	884	know
muuuuuito	1719	6.66	1.4514	--	4890	muuuuuito
ultra	1720	6.66	1.1537	4862	--	Ultra
nova	1721	6.66	1.0994	109	330	new
enciclopédia	1722	6.66	1.3793	1826	--	encyclopedia
valores	1723	6.66	1.3188	956	--	values
trabalhador	1724	6.66	1.2875	4370	--	worker
estilo	1725	6.66	1.3644	1108	2111	style
first	1726	6.66	1.4086	3469	5382	first
oiiie	1727	6.66	1.5334	--	5229	oiiie
grupo	1728	6.64	0.9638	140	1751	group
lyrics	1729	6.64	1.5618	1423	--	lyrics
concentração	1730	6.64	1.3667	3761	--	concentration
estimação	1731	6.64	0.9848	4349	--	estimation
noel	1732	6.64	1.3211	5977	795	noel
visual	1733	6.64	1.0254	1507	5428	visual
roupa	1734	6.64	1.2739	2382	778	clothing
encontrado	1735	6.64	1.3211	2217	--	found
possível	1736	6.64	1.0254	793	1684	possible
dvd	1737	6.64	1.1739	374	1249	DVD
gente	1738	6.64	1.2739	529	60	people
Úteis	1739	6.64	1.2578	2827	--	Useful
leio	1740	6.64	1.3056	--	3825	read
ativos	1741	6.64	1.2898	4234	--	assets
comunicar	1742	6.64	1.0835	4007	--	communicate
engenharia	1743	6.64	1.3962	649	--	engineering
lago	1744	6.64	1.4394	4647	--	lake
facil	1745	6.64	1.4107	--	1147	easy
ciências	1746	6.64	1.1911	677	--	science
florestal	1747	6.64	1.4251	5906	--	forest
leitor	1748	6.64	1.2898	2022	--	reader
lembrança	1749	6.64	1.4675	--	4427	memory
econômico	1750	6.64	1.4675	2686	--	economic
espelho	1751	6.64	1.2415	5134	2419	mirror
exato	1752	6.64	1.3667	--	4903	exact
retrato	1753	6.64	1.1563	5622	--	picture
repleto	1754	6.64	1.2898	--	4086	full
radio	1755	6.64	1.3667	2141	2257	radio
consigo	1756	6.64	1.2249	2285	453	can
new	1757	6.64	1.2081	384	1221	new
clássicos	1758	6.64	1.1739	4396	--	Classics
sul	1759	6.64	1.3962	150	2147	south
cabelos	1760	6.64	1.3056	3366	3965	hair
crédito	1761	6.64	1.3667	884	2978	credit
ooi	1762	6.64	1.4251	--	732	ooi
carne	1763	6.64	1.8156	2549	2995	meat
líderes	1764	6.64	1.3516	4676	--	leaders
assistir	1765	6.64	1.0451	2044	416	attend
estudante	1766	6.64	1.2415	3487	--	student
discos	1767	6.64	1.2898	2525	--	discs
interessados	1768	6.64	1.3211	3927	--	interested
primeiros	1769	6.64	1.6005	2045	2136	the 1st
residência	1770	6.64	1.5618	4250	--	residence
bonitinho	1771	6.64	1.6874	--	4121	cute
recomendo	1772	6.64	1.2739	5080	2911	recommend
receber	1773	6.64	1.3056	846	1400	receive
sensação	1774	6.64	1.3365	5438	2226	sensation
sobrinho	1775	6.64	1.2249	--	4951	nephew
autorizada	1776	6.62	1.2103	5834	--	authorized
receitas	1777	6.62	1.1933	1356	--	revenue
especialidade	1778	6.62	1.2919	3465	--	specialty
come	1779	6.62	1.2599	3963	743	Eat
desenvolvido	1780	6.62	1.2436	1783	--	developed
proteja	1781	6.62	1.4968	--	5574	protect
sorteando	1782	6.62	1.3686	--	2278	raffling
traduções	1783	6.62	1.2760	5472	--	translations
academia	1784	6.62	1.6274	2962	1300	academy
conservação	1785	6.62	1.2271	3201	--	conservation
patrimônio	1786	6.62	1.4968	4143	--	heritage
vamos	1787	6.62	1.0859	903	165	come on
participando	1788	6.62	1.1586	--	2442	participating
yorkshire	1789	6.62	1.4412	--	4655	yorkshire
importados	1790	6.62	1.2599	5122	--	imported
dez	1791	6.62	1.4412	691	2424	ten
total	1792	6.62	1.1586	191	1718	total
habitação	1793	6.62	1.3231	4379	--	housing
water	1794	6.62	1.8504	--	5794	water
banda	1795	6.62	1.0669	617	564	band
destaques	1796	6.62	1.1045	1338	--	highlights
destaque	1797	6.62	1.3536	1483	--	Featured
itália	1798	6.62	1.5104	1535	--	Italy
imagens	1799	6.62	1.2760	285	4437	pictures
oiee	1800	6.62	1.6274	--	2684	oiee
tour	1801	6.62	1.3076	4053	3913	tour
podemos	1802	6.62	1.2599	1638	1760	can
fds	1803	6.62	1.5635	--	2452	fds
veterinarios	1804	6.62	1.3834	2507	--	veterinarians
europeu	1805	6.62	1.3686	3379	--	European
científica	1806	6.62	1.2599	2060	--	scientific
participar	1807	6.62	1.0280	1540	1666	participate
combina	1808	6.62	1.3834	--	2837	combines
máxima	1809	6.62	1.3536	3694	--	maxim
simm	1810	6.62	2.0091	--	4739	simm
limpa	1811	6.62	1.4412	--	3128	clean
completamente	1812	6.62	1.5238	3563	2775	completely
guitarra	1813	6.62	1.7010	2886	4199	guitar
interação	1814	6.62	1.1586	5677	--	interaction
arroz	1815	6.62	1.4270	3830	3867	rice
cobertor	1816	6.62	1.3536	--	5863	blanket
decoração	1817	6.62	1.4693	1622	--	decoration
funcionar	1818	6.62	1.1933	4522	5637	work
molho	1819	6.62	1.2760	5786	--	sauce
estudei	1820	6.62	1.2103	--	3769	studied
heheh	1821	6.62	1.2436	--	3595	heheh
cabelo	1822	6.60	1.5386	2540	388	hair
som	1823	6.60	1.4142	498	539	sound
instrumentos	1824	6.60	1.1606	1275	--	instruments
certinho	1825	6.60	1.2454	--	4099	just right
chegou	1826	6.60	1.4286	1946	522	arrived
coleções	1827	6.60	1.1606	4491	--	collections
capricho	1828	6.60	1.7613	--	5203	whim
diaaa	1829	6.60	1.5649	--	2839	diaaa
poder	1830	6.60	1.3553	468	473	power
taça	1831	6.60	1.2289	4507	5947	cup
sempre	1832	6.60	1.1066	172	94	always
designer	1833	6.60	1.2778	5206	--	designer
estações	1834	6.60	1.3702	6384	--	stations
mega	1835	6.60	1.4708	3014	1262	Mega
habilitação	1836	6.60	1.5649	5714	--	license
álbuns	1837	6.60	1.3248	6175	--	Albums
jogo	1838	6.60	1.0880	333	340	game
toyota	1839	6.60	1.3093	4784	--	toyota
espacial	1840	6.60	1.3401	6383	--	spatial
colaboradores	1841	6.60	1.2454	4098	--	employees
massa	1842	6.60	1.5649	1650	860	mass
crer	1843	6.60	1.7613	--	2742	believe
cresce	1844	6.60	1.1429	5982	2595	grows
mensagem	1845	6.60	1.3851	88	1010	message
francês	1846	6.60	1.3553	2580	--	French
rádios	1847	6.60	1.4286	5294	--	radios
senhorita	1848	6.60	1.2778	--	5714	Ms.
seduz	1849	6.60	1.3997	--	5303	seduces
trabalhadores	1850	6.60	1.2936	2051	--	workers
canada	1851	6.60	1.7496	5880	--	canada
amiguinha	1852	6.60	1.2778	--	3734	amiguinha
facilitar	1853	6.60	1.1606	5406	--	facilitate
bola	1854	6.60	1.3248	1790	846	ball
geladeira	1855	6.60	1.3248	--	3434	refrigerator
audio	1856	6.60	1.0880	1813	5610	audio
garantia	1857	6.60	1.0102	1144	--	warranty
aquisição	1858	6.60	1.2289	3099	--	acquisition
international	1859	6.60	1.6162	1769	--	international
açúcar	1860	6.60	1.2936	3989	--	sugar
informática	1861	6.60	1.3997	411	--	computers
açai	1862	6.60	1.7728	--	5132	açai
moedas	1863	6.60	1.2936	3373	--	coins
aplicativo	1864	6.60	1.0690	6349	6239	application
recebendo	1865	6.60	1.1606	6286	5890	receiving
visuais	1866	6.60	1.1780	4314	--	visual
sitio	1867	6.60	1.1606	6417	4669	site
e-mails	1868	6.60	1.3093	4192	--	emails
recorde	1869	6.60	1.4428	5094	5834	record
rádio	1870	6.60	1.2778	744	2097	radio
ready	1871	6.60	1.3553	--	4020	ready
objetivo	1872	6.60	1.4983	1102	4995	goal
eterna	1873	6.60	1.4142	--	3832	eternal
books	1874	6.60	1.3851	5736	--	books
econômica	1875	6.58	1.4441	2295	--	economic
pijama	1876	6.58	1.4441	--	2597	pajamas
faculdades	1877	6.58	1.2950	1990	--	colleges
noruega	1878	6.58	1.5919	5778	--	Norway
objetivos	1879	6.58	1.1968	2699	5843	goals
dear	1880	6.58	1.7272	--	5191	dear
voa	1881	6.58	1.2631	--	4945	flies
comunicação	1882	6.58	1.2950	551	--	communication
peito	1883	6.58	1.3864	5256	1812	chest
organizar	1884	6.58	1.0319	4518	--	organize
demaais	1885	6.58	1.6047	--	5421	demaais
bastante	1886	6.58	1.2304	1542	1282	quite
film	1887	6.58	1.3107	6145	--	film
cheguei	1888	6.58	0.9916	--	318	arrived
muitos	1889	6.58	1.2950	811	709	many
email	1890	6.58	1.3716	238	2776	email
habilitar	1891	6.58	1.0319	2933	--	enable
indígenas	1892	6.58	1.7272	6217	--	indigenous
acreditam	1893	6.58	1.2469	--	4829	believe
sopa	1894	6.58	1.3262	4851	--	soup
dom	1895	6.58	1.5530	1225	2488	gift
pensamento	1896	6.58	1.1082	2446	1887	thought
ebay	1897	6.58	1.4155	4564	--	ebay
cameras	1898	6.58	1.7738	2550	--	cameras
voltei	1899	6.58	1.0708	--	286	back
sugestões	1900	6.58	1.1445	1086	--	suggestions
rios	1901	6.58	1.3716	3901	--	rivers
direito	1902	6.58	1.1082	249	807	right
respira	1903	6.58	1.2950	--	4642	breathe
firme	1904	6.58	1.4010	--	3875	firm
descobri	1905	6.58	1.3566	--	1815	found
acalma	1906	6.58	1.4010	--	4889	calms
participe	1907	6.58	1.2137	3216	1953	participate
homem	1908	6.58	1.4721	465	550	man
rapidamente	1909	6.58	1.1968	4441	--	quickly
sapatos	1910	6.58	1.1968	4696	--	shoes
encontrada	1911	6.58	1.1622	5798	--	found
nacional	1912	6.58	1.2950	197	2244	national
orgânica	1913	6.58	1.6424	5285	--	organic
algodão	1914	6.58	1.2950	6420	--	cotton
santa	1915	6.58	1.5661	237	1344	saint
buenas	1916	6.58	1.3864	--	3332	buenas
convidado	1917	6.58	1.1082	3960	--	guest
magic	1918	6.58	1.3107	4580	--	magic
escritor	1919	6.58	1.3415	4698	--	writer
concertos	1920	6.58	1.2792	5817	--	concerts
disponibilidade	1921	6.58	1.4010	2088	--	availability
confirma	1922	6.58	1.2137	6141	4821	confirms
images	1923	6.58	1.1796	2333	--	images
autonomia	1924	6.58	1.7390	5626	--	autonomy
clássica	1925	6.58	1.3864	4786	--	classical
áudio	1926	6.58	1.2469	3940	--	Audio
diálogo	1927	6.58	1.2950	4906	--	dialogue
