Word	Havg	StDev	FreqList	translation
أهمية	2455	5.94	0.8184	2947	Importance
صدرك	2456	5.94	1.5039	7422	Chest
النحل	2457	5.94	1.4626	6663	Bees
القلعة	2458	5.94	1.1678	4055	Castle
بالتاكيد	2459	5.94	1.0577	2684	Certainly
تستطيعين	2460	5.94	1.1502	1027	Can you
أعلـم	2461	5.94	0.9348	8326	I know
بالظبط	2462	5.94	1.0577	5741	Exactly
المنافسة	2463	5.92	1.2911	6097	Competition
مدرب	2464	5.92	0.9655	4308	Coach
تحظى	2465	5.92	1.1753	7382	Are
بقوة	2466	5.92	1.0660	1967	Strongly
البرج	2467	5.92	1.2095	5055	Tower
كلبي	2468	5.92	1.5758	8036	My dog
يشتري	2469	5.92	0.8533	7973	Order
تحصلين	2470	5.92	0.9223	8061	You get
عمل	2471	5.92	1.2752	191	Work
بالإمكان	2472	5.92	1.0270	1136	Possible
السوق	2473	5.92	1.1400	2852	Market
رؤية	2474	5.92	0.8769	604	See
الدمية	2475	5.92	1.4263	7203	Doll
الواضح	2476	5.92	1.2911	1325	Clearly
الميناء	2477	5.92	1.1036	6802	Port
رقمي	2478	5.92	1.1400	7864	Digital
المركب	2479	5.92	1.1036	3273	Composite
احصل	2480	5.92	1.1220	1573	Get
دكتور	2481	5.92	1.6015	537	Dr.
yahoo	2482	5.92	1.4405	1221	yahoo
جدآ	2483	5.92	1.2752	4564	Is very
إستعادة	2484	5.92	1.0850	9552	Recovery
تذكرت	2485	5.92	1.0660	4677	I remembered
قلم	2486	5.92	1.1220	6062	Pen
ترغب	2487	5.92	1.0660	1510	Want
تعالوا	2488	5.92	0.9864	1579	Come
عربة	2489	5.92	0.8999	3213	Wagon
لقدومك	2490	5.92	0.8769	9529	For coming
الأهم	2491	5.92	1.2591	7823	More importantly
تنفس	2492	5.92	1.2262	4281	Breathe
النفط	2493	5.92	1.4263	6407	Oil
لنبدأ	2494	5.92	0.7783	3073	Let's start
يشرب	2495	5.92	0.9655	5233	Drink
لصالح	2496	5.92	0.9223	3704	For the benefit of
يمكنني	2497	5.92	1.1400	155	I
بالطبع	2498	5.92	0.9442	166	Of course
إجتماع	2499	5.92	1.0467	4227	Meeting
أتناول	2500	5.92	0.9442	4993	Touch
التعرف	2501	5.92	0.9442	4643	Recognition
القوارب	2502	5.92	1.0069	8933	Boat
تصبحي	2503	5.92	1.0660	9474	Become a
مليئة	2504	5.92	1.2262	2328	Filled
يحصل	2505	5.92	1.0069	839	Gets
الساحر	2506	5.92	1.5887	4995	Magician
أحتفظ	2507	5.92	0.8291	4960	I keep
مهمتي	2508	5.92	0.9223	9923	My mission
تصدقني	2509	5.92	1.1036	5865	Believe me
سأراك	2510	5.92	0.8041	2113	I'll see you
يحل	2511	5.92	0.8769	6594	Solves
تحقق	2512	5.92	1.1753	3812	Check
أفريقيا	2513	5.92	1.2428	4149	Africa
بأعلى	2514	5.92	1.1220	7871	The highest
skype	2515	5.92	1.3377	7631	skype
مقابلة	2516	5.92	1.1036	2280	Interview
أخطط	2517	5.92	1.1220	6980	I plan
سموك	2518	5.92	1.7478	4248	Smock
الجزر	2519	5.92	1.0467	9592	Islands
موجوده	2520	5.92	1.1220	9725	Found
علاج	2521	5.92	1.6268	3059	Treatment
طالبة	2522	5.92	0.8769	8232	Student
إسبانيا	2523	5.92	1.2095	9752	Spain
كوكب	2524	5.92	1.0270	3857	Planet
المحادثة	2525	5.92	0.8769	5133	Conversation
أضمن	2526	5.92	0.8769	6478	Surest
تقدموا	2527	5.92	1.0270	8204	Filed
فعلنا	2528	5.92	1.0660	2350	We did
صنع	2529	5.92	0.9864	1873	Making
اكيد	2530	5.92	1.1400	4802	Downright
يعطي	2531	5.92	0.9223	4865	Gives
طويل	2532	5.92	1.1220	587	Long
مستشار	2533	5.92	1.4686	9175	Advisor
مستمر	2534	5.92	1.0270	7792	Continuous
سأبقى	2535	5.92	1.0069	2689	I'll stay
مفاتيح	2536	5.92	0.9864	4307	Keys
الفتيان	2537	5.92	1.0660	4146	Boys
نعلم	2538	5.92	1.0660	1350	We know
بجانبي	2539	5.92	1.1578	6007	Beside me
عيناي	2540	5.92	1.4263	5798	My eyes
لتناول	2541	5.92	1.0467	3374	To eat
تمرين	2542	5.92	1.1925	8131	Exercise
نعثر	2543	5.92	1.1925	6492	Found
البشري	2544	5.92	1.1753	4883	Human
البنوك	2545	5.92	1.3223	9414	Banks
يحصلون	2546	5.90	0.8864	7476	Get
إيطاليا	2547	5.90	1.4743	6196	Italy
المصرف	2548	5.90	1.2657	4599	Bank
يفكرون	2549	5.90	0.9530	9210	Think
سوية	2550	5.90	0.9530	1245	Together
أرتدي	2551	5.90	1.1112	4475	I wear
تقترب	2552	5.90	1.0738	3737	Approaching
شركة	2553	5.90	1.0926	949	Company
بيته	2554	5.90	1.1824	7208	Home
بجانبك	2555	5.90	1.0546	4757	Beside you
سنعود	2556	5.90	0.8391	2888	We will come back
تعطينى	2557	5.90	1.0546	6899	Give me
بكثير	2558	5.90	1.0351	1175	Much
الرداء	2559	5.90	1.0738	8030	Robe
يرغب	2560	5.90	0.9949	2855	Wishes
نيو	2561	5.90	0.9949	1829	New
دخول	2562	5.90	0.9530	2986	Log in
يدوم	2563	5.90	0.9091	8211	Lasts
رسالتك	2564	5.90	0.9949	5995	Your message
نشاهد	2565	5.90	0.9530	7015	Watch
معا	2566	5.90	1.2495	987	Together
أقابل	2567	5.90	0.9742	4686	I meet
بلقائك	2568	5.90	1.3286	2355	To meet you
الدنيا	2569	5.90	1.3286	7280	Minimum
ممثل	2570	5.90	1.1995	4293	Representative
أريدها	2571	5.90	1.0152	3713	I want
الصفقة	2572	5.90	1.2817	2732	Deal
منتج	2573	5.90	0.9091	6960	Product
نعرف	2574	5.90	0.8631	545	Know
صغيره	2575	5.90	1.1473	2953	Small
تجيب	2576	5.90	0.9949	6919	Answer
يعلم	2577	5.90	0.9313	610	Knows
يخطط	2578	5.90	1.1473	6950	Plans
نحل	2579	5.90	1.3286	9169	Bees
ثوب	2580	5.90	1.0738	8386	Dress
افكر	2581	5.90	0.9091	1527	I'm thinking
رجل	2582	5.90	1.2976	71	Man
نريدك	2583	5.90	1.0546	7200	We want you
اخيرا	2584	5.90	1.4604	5062	Finally
المعطف	2585	5.90	1.0738	8725	Coat
تجمع	2586	5.90	1.0152	6815	Rally
أخيرا	2587	5.90	1.0926	2471	Finally
الوجه	2588	5.90	0.9742	2118	Face
نشعر	2589	5.90	0.9313	5841	We feel
التنفس	2590	5.90	1.2657	2819	Breathing
تعطيني	2591	5.90	0.8144	2540	Give me
أعثر	2592	5.90	1.1112	4929	Find
قريبين	2593	5.90	1.0152	7901	Close
النظر	2594	5.90	1.1824	1106	Consideration
يسير	2595	5.90	1.0546	3115	Walking
العليا	2596	5.90	1.2330	2777	Supreme
تعرفها	2597	5.90	0.8631	5230	You know
للصيد	2598	5.90	1.1473	8706	For hunting
طريقنا	2599	5.90	1.1294	2844	Our way
أجد	2600	5.90	0.9742	1094	I find
يرى	2601	5.90	0.8864	1657	See
الاكثر	2602	5.90	1.0546	7051	Most
باستمرار	2603	5.90	0.8864	7168	Constantly
نحصل	2604	5.90	1.0546	1306	We get
ستصبح	2605	5.90	0.8631	2165	Will
عمره	2606	5.90	1.5551	2519	Old
علمنا	2607	5.90	0.9742	7695	We learned
اصعد	2608	5.90	0.8144	4696	Go up
عودتك	2609	5.90	0.9313	5920	Return
تفهمين	2610	5.90	0.9949	2748	You understand
تتحقق	2611	5.90	1.0152	7322	Realized
رايك	2612	5.90	1.1112	7668	Your opinion
فكري	2613	5.90	1.0738	5279	Fikri
تسافر	2614	5.90	1.5152	9458	Travel
مجموعات	2615	5.88	1.0999	8013	Groups
الشاى	2616	5.88	1.2395	6564	Tea
أرى	2617	5.88	1.1183	243	I see
دقيق	2618	5.88	1.0812	7244	Flour
عشت	2619	5.88	1.0230	4240	I lived
للتفكير	2620	5.88	0.9823	7603	To think
تفسير	2621	5.88	0.8485	4505	Interpretation
التقيت	2622	5.88	0.9179	7371	I met
المفتوحة	2623	5.88	1.0812	9254	Open
جواب	2624	5.88	0.7990	6813	Answer
يمكنهم	2625	5.88	0.9823	1500	They can
بتنظيف	2626	5.88	1.0622	9396	Clean
تقبل	2627	5.88	1.0812	2926	Accept
خفيفة	2628	5.88	0.7461	6344	Light
اعدك	2629	5.88	0.8241	4828	I promise
أعددت	2630	5.88	1.0812	8325	I have prepared
أعطيتني	2631	5.88	0.8722	6686	Give me
برؤية	2632	5.88	1.2061	9065	See
أفكر	2633	5.88	0.9398	495	I think
أعطى	2634	5.88	0.8722	5439	Gave
نبض	2635	5.88	1.3498	8384	Pulse
حمام	2636	5.88	1.3192	2599	Bath
مايرام	2637	5.88	1.0622	1557	Okay
أفهمه	2638	5.88	1.0622	8812	I understand
يعمل	2639	5.88	1.0428	378	Works
تعرفت	2640	5.88	0.9179	6418	I met
شرابا	2641	5.88	1.1183	8008	Drink
يعملون	2642	5.88	0.8241	2429	Working
أكمل	2643	5.88	1.1718	4111	Complete
ارتدي	2644	5.88	1.0428	5845	Wear
أعطيك	2645	5.88	1.0999	2191	Give
البلده	2646	5.88	1.0812	9378	Town
بمشاهدة	2647	5.88	0.8241	7980	Watching
جئنا	2648	5.88	0.9398	4229	We came
الصدر	2649	5.88	1.4090	4874	Chest
عرفت	2650	5.88	0.9823	484	I knew
أعلى	2651	5.88	0.9398	1205	Top
مجيئك	2652	5.88	1.0812	8719	Coming
الارض	2653	5.88	1.1718	1790	Ground
خطوة	2654	5.88	0.8722	2069	Step
بإمكانك	2655	5.88	1.2229	1186	You
يفتح	2656	5.88	0.8485	4625	Opens
أقترب	2657	5.88	0.8953	8449	Approached
المفاتيح	2658	5.88	1.0812	1819	Keys
نتناول	2659	5.88	1.0029	5633	Address
أعطيتك	2660	5.88	1.0029	4726	I gave you
مقهى	2661	5.88	1.1718	8289	Cafe
بسيارة	2662	5.88	1.1183	8360	Car
صوتك	2663	5.88	1.0812	2168	Voice
يشعرون	2664	5.88	0.7730	6456	Feel
أصبح	2665	5.88	1.0999	547	Become
بدأ	2666	5.88	0.9613	816	Began
ستبدأ	2667	5.88	1.0029	5824	Begin
الشعب	2668	5.88	1.4234	2816	People
توضح	2669	5.88	0.6893	9674	Show
تشعري	2670	5.88	1.0029	7845	Pricing
إنجلترا	2671	5.88	1.2229	5247	England
مدريد	2672	5.88	1.1891	9288	Madrid
العمدة	2673	5.88	1.0230	5542	Mayor
نبدأ	2674	5.88	0.9613	1199	Start
سادتي	2675	5.88	1.0812	3050	Gentlemen
العلاقة	2676	5.88	1.1364	3311	Relationship
جسمك	2677	5.88	1.3944	6464	Body
سيصبح	2678	5.88	0.7183	1919	Will
لشراء	2679	5.88	1.1183	4066	To buy
البرية	2680	5.88	1.1718	6022	Wild
انضم	2681	5.88	0.9613	9364	Joined
تسمح	2682	5.88	0.8953	2489	Allow
كافية	2683	5.88	1.1183	2462	Enough
دائمة	2684	5.88	1.0428	10000	Permanent
الإتصالات	2685	5.88	1.0029	9531	Communications
نتائج	2686	5.88	1.0999	4493	Results
تتذكرين	2687	5.88	0.7990	4772	Remember
هوليود	2688	5.88	1.5338	6316	Hollywood
سأجلب	2689	5.88	1.0428	6945	Will bring
اسمى	2690	5.88	1.1364	3940	Asma
الجليد	2691	5.88	1.6616	4377	Ice
احس	2692	5.88	1.0812	9387	I feel
أمريكية	2693	5.88	1.3498	6723	American
تواعد	2694	5.88	1.1542	9190	Dating
رؤيتهم	2695	5.88	1.1364	9709	Vision
تكتشف	2696	5.88	1.0230	6869	Discover
عين	2697	5.88	1.2558	3264	Eye
بأمكانك	2698	5.88	1.1891	7456	You can then
البلد	2699	5.86	1.0692	2700	Country
الجنس	2700	5.86	1.9796	428	Gender
الرائد	2701	5.86	1.4984	4740	Major
الأستاذ	2702	5.86	1.1782	3885	Professor
يقدم	2703	5.86	0.8574	4747	Offers
أعلمك	2704	5.86	1.0304	8199	Let you know
اخبارك	2705	5.86	1.0304	7140	Inform you
بالأعلى	2706	5.86	0.9478	2671	Above
قادم	2707	5.86	0.8332	668	Coming
سيدني	2708	5.86	1.5388	5345	Sydney
مبيعات	2709	5.86	1.0104	8899	Sales
سنجد	2710	5.86	0.9037	4442	We will find
هاتف	2711	5.86	1.1250	1656	Phone
توضيح	2712	5.86	0.9691	9715	Clarify
حركة	2713	5.86	1.3250	2008	Movement
المؤكد	2714	5.86	1.2124	4265	Certainly
نام	2715	5.86	1.1250	7350	Nam
الطقس	2716	5.86	1.0104	2439	Weather
الحمام	2717	5.86	1.3852	1208	Bathroom
ليلى	2718	5.86	1.1608	4681	Laila
أكتوبر	2719	5.86	1.2124	7384	October
نتعامل	2720	5.86	1.1250	4961	Deal
نتحرك	2721	5.86	0.8332	3510	Move
أدرى	2722	5.86	0.9478	3335	Knowledgeable
يستطيع	2723	5.86	0.8084	355	Can
التاريخ	2724	5.86	1.1430	1709	History
يعبر	2725	5.86	0.9260	6139	Expresses
فتيان	2726	5.86	0.9899	4534	Boys
يحاول	2727	5.86	0.8084	871	Tries
أجدها	2728	5.86	0.9037	9057	I find
أستمر	2729	5.86	0.8574	4378	Continue
تودين	2730	5.86	0.8084	3982	Todan
تعيشين	2731	5.86	1.0104	5730	Do you live
الأرجح	2732	5.86	0.9691	2200	Probably
تعمل	2733	5.86	1.1954	348	Work
أوضح	2734	5.86	0.8332	4945	Explained
الدماغ	2735	5.86	1.1250	6020	Brain
يعطيني	2736	5.86	0.9899	6734	Gives me
متأكد	2737	5.86	1.1954	414	Sure
مجلة	2738	5.86	0.8809	3110	Magazine
أعبر	2739	5.86	0.9478	7789	Express
أعرفك	2740	5.86	1.0104	2006	I know you
يبدأ	2741	5.86	0.8574	1899	Begins
بشعور	2742	5.86	0.9037	9070	Sense
التغلب	2743	5.86	1.5651	9121	Overcome
وصل	2744	5.86	0.8084	1506	Arrived
أكتب	2745	5.86	1.0304	2645	Write
وصلت	2746	5.86	0.9691	813	Reached
شخصية	2747	5.86	1.0500	1850	Personal
الخزانة	2748	5.86	1.1068	4635	Treasury
فيل	2749	5.86	1.2291	2068	Phil
أحسست	2750	5.86	1.0882	7711	I felt
أتت	2751	5.86	0.9691	3064	Came
يفضل	2752	5.86	0.8809	5765	Preferably
الصغيرة	2753	5.86	1.2124	522	Small
النافذة	2754	5.86	1.0882	1713	Window
تدعو	2755	5.86	0.8332	9011	Calls
الخليج	2756	5.86	1.1430	8181	Gulf
ممارسة	2757	5.86	1.1250	2608	Exercise
المدرسة	2758	5.86	1.3250	437	School
خططت	2759	5.86	1.1250	7610	Planned
رساله	2760	5.86	0.7827	7363	Message
متواجد	2761	5.86	0.9691	9619	Online
طاب	2762	5.86	0.9899	2818	Taba
العشب	2763	5.86	0.9037	5205	Grass
انا	2764	5.86	1.2124	32	I
البحرية	2765	5.86	1.1782	2523	Navy
شرب	2766	5.86	1.1782	4667	Drink
الأتصال	2767	5.86	0.9037	6248	Contact
يراها	2768	5.86	1.0104	8937	Sees
أحمر	2769	5.86	1.2291	2403	Red
اللغة	2770	5.86	1.1430	3709	Language
للعيش	2771	5.86	1.1782	3844	To live
المدينه	2772	5.86	1.0692	2805	City
البدء	2773	5.86	0.9037	3647	Start
عينيه	2774	5.86	1.2938	5354	His eyes
ستجد	2775	5.86	0.9478	3618	You will find
اتذكر	2776	5.86	0.9260	2998	I remember
قميصك	2777	5.86	1.0500	7055	Shirt
معكي	2778	5.86	1.0304	9391	Meka
إتفاق	2779	5.86	0.8574	8331	Agreement
المقبلة	2780	5.84	1.2513	6282	Next
قراري	2781	5.84	1.1493	9499	Resolutions
هاي	2782	5.84	1.0174	1137	Hai
شرق	2783	5.84	1.0174	5409	East
وقتك	2784	5.84	1.2835	2018	Your time
ليله	2785	5.84	1.2675	3503	Leila
يمارس	2786	5.84	0.9971	3420	Exercise
المبيعات	2787	5.84	1.2993	9814	Sales
تقابل	2788	5.84	0.8657	4217	Meet
الدولي	2789	5.84	1.2675	8605	International
حقل	2790	5.84	1.2835	6093	Field
اجلك	2791	5.84	1.0947	3914	Demo
يسوع	2792	5.84	1.5566	4712	Jesus
طويلة	2793	5.84	1.2675	572	Long
عم	2794	5.84	1.0947	2208	Uncle
استعد	2795	5.84	0.7656	4764	Get ready
المالك	2796	5.84	1.1843	7110	Owner
صنعت	2797	5.84	0.7918	2562	Made
موجودا	2798	5.84	1.1493	8255	Exists
الألمانية	2799	5.84	1.4337	8079	German
وايت	2800	5.84	1.3149	4369	White
يقدر	2801	5.84	0.9116	6032	Estimated
الرجال	2802	5.84	1.2993	276	Men
أتعلم	2803	5.84	1.1843	532	Learn
عش	2804	5.84	1.1132	9251	Nest
حقا	2805	5.84	1.0568	181	Really
الوظائف	2806	5.84	1.4758	9969	Jobs
رأيك	2807	5.84	0.9553	485	Write a Review
عيش	2808	5.84	1.1493	9659	Live
دخل	2809	5.84	1.0759	1951	Income
شعورك	2810	5.84	1.2835	3508	Feel
تخطط	2811	5.84	1.0947	4973	Plans
الصوره	2812	5.84	1.0373	9653	Image
يصنع	2813	5.84	1.0373	3847	Makes
بامكانك	2814	5.84	1.0947	4640	You can
رأي	2815	5.84	1.0174	3453	Opinion
تتصل	2816	5.84	1.0174	1632	Related
فكر	2817	5.84	1.1132	1264	Think
أعرفه	2818	5.84	0.8657	1312	I know
ينتظرك	2819	5.84	0.9971	8309	Awaits
أجدك	2820	5.84	0.9116	9908	Find you
نافذة	2821	5.84	0.9116	6050	Window
قريبا	2822	5.84	0.9337	965	Soon
يمكننا	2823	5.84	0.9971	228	We can
بالصدفة	2824	5.84	1.2675	9442	Accident
الملكية	2825	5.84	1.2513	4382	Property
القبعة	2826	5.84	0.9971	5498	Hat
اخترت	2827	5.84	0.8172	5361	You choose
اعرفك	2828	5.84	0.9116	6409	Know you
طعم	2829	5.84	1.0947	5300	Taste
الانضمام	2830	5.84	0.9765	8051	Join
سيبقى	2831	5.84	0.9337	4598	Will remain
المطبخ	2832	5.84	1.3903	1995	Kitchen
حالك	2833	5.84	1.2182	333	Are you
اقدر	2834	5.84	0.8657	5192	I really appreciate
المجيء	2835	5.84	1.0373	2975	Advent
تجرى	2836	5.84	1.0947	9078	Conducted
شابه	2837	5.84	1.5301	2948	Like
رأيتك	2838	5.84	1.0568	1807	I saw you
لمعرفة	2839	5.84	0.7918	2836	To find out
أسمي	2840	5.84	1.2349	5716	Call
صدقني	2841	5.84	1.0759	3671	Believe me,
الناس	2842	5.84	1.2993	126	People
حصلت	2843	5.84	1.1314	271	I got
فكرت	2844	5.84	0.6809	997	I thought
لأجلي	2845	5.84	0.9765	4741	For me
منظر	2846	5.84	1.1132	5631	View
طبعا	2847	5.84	0.9553	2440	Of course
تقدر	2848	5.84	1.0174	4495	Estimated
احتفظ	2849	5.84	0.9337	4078	Keep
عادت	2850	5.84	0.8418	2539	Returned
الفضائية	2851	5.84	0.9553	7339	Space
نراك	2852	5.84	1.2182	7100	See you
صورته	2853	5.84	1.0174	9682	Image
الموعد	2854	5.84	1.0947	3365	Deadline
علاقتك	2855	5.84	1.1493	7699	Relationship
يتذكر	2856	5.84	0.8418	7826	Remember
المنتج	2857	5.84	0.8172	8611	Product
عدنا	2858	5.82	1.1551	4791	Back
تدريب	2859	5.82	1.1551	4089	Training
مكتبى	2860	5.82	1.1551	9766	Office
مواطن	2861	5.82	1.1899	7902	Citizen
طلاب	2862	5.82	1.0039	8557	Students
سنفعله	2863	5.82	1.1008	5274	We do
جانبك	2864	5.82	1.0821	8184	Side
كلنا	2865	5.82	1.3045	827	We all
ياصاح	2866	5.82	1.0039	9469	ياصاح
تمت	2867	5.82	1.8702	720	Has
البريطانية	2868	5.82	1.3045	7904	British
تسكن	2869	5.82	1.0821	7568	Inhabit
المجموعة	2870	5.82	0.9190	2413	Group
اعمل	2871	5.82	0.9833	1703	I work
عمرو	2872	5.82	1.1726	9998	Amr
جناح	2873	5.82	1.1008	5416	Pavilion
ستأتى	2874	5.82	0.8734	7761	Will come
بمعرفة	2875	5.82	0.8734	9851	Knowledge
تحاول	2876	5.82	1.1192	646	Trying to
تقفز	2877	5.82	1.0437	7578	Jump
سأبدأ	2878	5.82	0.8965	5053	I'll start with
سأحضر	2879	5.82	0.9833	1800	I'll get
نلت	2880	5.82	1.1373	5513	Obtained
نتأكد	2881	5.82	1.0437	7551	Sure
الحضور	2882	5.82	1.0240	2795	Attendance
الأساسي	2883	5.82	0.9409	9338	Primary
المهم	2884	5.82	1.1192	1503	It is important
خرجنا	2885	5.82	1.1726	8387	We went out
انجلترا	2886	5.82	1.1899	7021	England
خيار	2887	5.82	1.1551	1618	Option
إضافية	2888	5.82	0.8965	4736	Additional
يجد	2889	5.82	0.8003	3321	Finds
تريدينه	2890	5.82	0.9624	5628	تريدينه
أصبحنا	2891	5.82	1.1899	5630	We
أحدث	2892	5.82	0.9190	7295	Latest
الميدان	2893	5.82	1.3506	7676	Field
لدي	2894	5.82	1.1008	111	I have
مباشرة	2895	5.82	1.1192	666	Directly
كلية	2896	5.82	1.3506	3663	College
أجل	2897	5.82	1.0821	45	For
أصبحت	2898	5.82	0.8497	625	Become
نسمح	2899	5.82	0.9833	9231	Allow
يجرى	2900	5.82	1.1726	4070	Being
الوجوه	2901	5.82	1.0240	9012	Faces
معاملة	2902	5.82	0.9833	8705	Treatment
المنازل	2903	5.82	1.1899	6799	Homes
قصتك	2904	5.82	1.0240	5977	STORY
أعطاني	2905	5.82	0.9409	4660	He gave me
غدا	2906	5.82	1.0240	760	Tomorrow
لمشاهدة	2907	5.82	0.8497	6003	To watch
تدرس	2908	5.82	1.0821	9336	Study
تجارب	2909	5.82	1.2728	8692	Experiences
لأجله	2910	5.82	1.0437	6430	For him
المفتاح	2911	5.82	0.9190	1620	Key
أحضرت	2912	5.82	0.9409	1373	Bring
ستعمل	2913	5.82	0.9624	3000	Will
يستيقظ	2914	5.82	1.0437	9479	Wakes up
ظهور	2915	5.82	1.0631	7936	Appearance
ولديك	2916	5.82	1.2070	8920	And you have
تعلمى	2917	5.82	1.1008	6824	Learn
لبعضنا	2918	5.82	1.0240	8553	For each
للسيارة	2919	5.82	1.0039	8445	The car
نمت	2920	5.82	1.6123	2941	Grown
بإمكانه	2921	5.82	1.0437	5301	Can
الكفاية	2922	5.82	1.0039	1166	Enough
أعطها	2923	5.82	1.0437	9446	Give
تتنفس	2924	5.82	0.9409	7925	Breathe
عينى	2925	5.82	1.0039	8619	Eyes
رابطة	2926	5.82	0.9190	9366	Association
إفتح	2927	5.82	0.9833	2300	Unlock
درست	2928	5.82	1.1551	5683	Studied
جئت	2929	5.82	0.9409	775	I came
نورا	2930	5.82	1.1192	6885	Nora
تحدثنا	2931	5.82	0.9624	3392	We talked
ترتدي	2932	5.82	0.9409	2587	Wears
بمناسبة	2933	5.82	0.9833	7956	On the occasion of
يأتى	2934	5.80	0.9258	2263	Comes
كول	2935	5.80	1.2454	3034	Cole
بالعالم	2936	5.80	1.0302	5511	World
نيويورك	2937	5.80	1.6782	655	New York
الحركة	2938	5.80	0.9035	2637	Movement
نخرج	2939	5.80	0.9897	1052	Out
سأجد	2940	5.80	0.9897	4644	'll Find
سنفعل	2941	5.80	0.8330	1143	We will do
وادي	2942	5.80	1.1780	8959	Valley
الاحمر	2943	5.80	1.4846	7591	Red
السترة	2944	5.80	1.2289	6811	Jacket
أرض	2945	5.80	0.9258	2222	Land
اراها	2946	5.80	1.0102	8565	I see
وأكثر	2947	5.80	0.8571	5739	And more
صغيرة	2948	5.80	1.4428	405	Small
خذها	2949	5.80	1.1066	3166	Take
سنكون	2950	5.80	1.1249	985	We will be
يعرف	2951	5.80	0.9258	302	Known
أنهض	2952	5.80	1.1780	6151	I get up
وجود	2953	5.80	0.7559	788	Presence
الأمم	2954	5.80	1.1606	8213	Nations
قررت	2955	5.80	1.0690	1661	Decided
مخرج	2956	5.80	1.1780	3324	Director
أدركت	2957	5.80	0.9035	3207	I realized
مبكر	2958	5.80	1.3401	5813	Early
أية	2959	5.80	1.3093	454	Any
البقاء	2960	5.80	1.2778	684	Stay
قارب	2961	5.80	1.1606	3258	Boat
وأعرف	2962	5.80	0.8806	5973	I know
أزرق	2963	5.80	1.0302	4991	Blue
الترجمه	2964	5.80	1.0302	5351	Collapse
برامج	2965	5.80	0.9689	8464	Programs
سيصل	2966	5.80	0.9476	6698	Will
أترغب	2967	5.80	0.8330	8655	Would you like
ذهني	2968	5.80	0.9258	9900	My mind
معقول	2969	5.80	0.9258	2454	Reasonable
المهنة	2970	5.80	0.9689	9511	Profession
الجوي	2971	5.80	1.3851	8202	Air
معالجة	2972	5.80	1.3851	5328	Treatment
سأدخل	2973	5.80	0.8571	6066	I'm going
بأكثر	2974	5.80	0.9258	8661	More
حالما	2975	5.80	1.1606	2136	Once the
أراكم	2976	5.80	0.9897	4273	See you
الشخصيات	2977	5.80	1.1066	7955	Figures
تلمسني	2978	5.80	1.3401	5175	Touch Me
اسمك	2979	5.80	1.1780	854	Your name
سأتصل	2980	5.80	0.7825	1347	I'll call
نسير	2981	5.80	0.8081	8049	Moving
العودة	2982	5.80	0.9689	659	Back
الجنسية	2983	5.80	1.3553	4614	Nationality
كرجل	2984	5.80	1.0880	5126	Man
هامة	2985	5.80	1.1606	8886	Important
جاد	2986	5.80	1.3553	1488	Gad
إسمي	2987	5.80	1.0498	2741	My name is
المجتمع	2988	5.80	1.3851	3149	Community
الاحتفاظ	2989	5.80	0.9035	6829	Retention
تتمكن	2990	5.80	0.8081	5302	You can
تصعد	2991	5.80	0.8571	7721	Ascend
سيد	2992	5.80	1.1606	133	Mr.
الجواب	2993	5.80	0.8571	4332	The answer
متجر	2994	5.80	1.1606	3119	Shop
نعود	2995	5.80	1.0102	1244	Go back
نال	2996	5.80	1.2778	9756	Won
أعطيتها	2997	5.80	0.9476	8941	I gave her
قدمت	2998	5.80	1.0302	4371	Submitted
ناس	2999	5.80	1.1429	2234	People
تجد	3000	5.80	0.9035	1154	Find
والكثير	3001	5.80	0.9897	7765	And a lot
تعرفون	3002	5.80	0.8806	1812	You know
بدأت	3003	5.80	0.9689	530	Began
مندهش	3004	5.80	1.2778	8115	Surprised
تأكيد	3005	5.80	0.8330	2310	Confirmation
وظيفتك	3006	5.80	1.3997	6619	Occupation
دعوه	3007	5.80	0.9897	8192	Invitation
اهم	3008	5.80	0.9689	8091	The most important
أهم	3009	5.80	0.9035	2625	The most important
التواجد	3010	5.80	0.9689	7492	Presence
يسبق	3011	5.80	0.9258	2903	Never
نمشي	3012	5.80	0.8571	8935	WALK
المصعد	3013	5.80	0.9897	3219	Elevator
استمعوا	3014	5.80	0.9035	7750	Listen
عجب	3015	5.80	1.0880	6210	Wonder
المساعد	3016	5.80	1.0880	8934	Assistant
مهمتك	3017	5.80	1.0498	6789	Your task
الدولية	3018	5.80	1.2122	7075	International
النوافذ	3019	5.80	1.0102	5000	Windows
رؤيتها	3020	5.80	1.0302	3939	See
لنتحرك	3021	5.80	0.9689	5958	To move
يقفز	3022	5.80	1.0880	8969	Jumps
لتحقيق	3023	5.80	1.0880	9970	To achieve
الأحمر	3024	5.80	1.3851	1737	Red
أدرس	3025	5.80	1.0690	7949	Study
الفور	3026	5.78	1.3893	3181	Immediately
بلدة	3027	5.78	1.0160	3943	Town
أفتح	3028	5.78	0.9750	3509	Lighter
إتصل	3029	5.78	1.1830	2846	Contact
السفير	3030	5.78	1.0554	7588	Ambassador
يمكنه	3031	5.78	0.7900	660	Can
ساعدنا	3032	5.78	1.2501	5897	Helped
العربة	3033	5.78	0.9538	3162	Cart
كاليفورنيا	3034	5.78	1.4184	2195	California
يقترب	3035	5.78	1.1301	4052	Approaching
الرسالة	3036	5.78	0.9538	1664	Message
