word	rank	happs	stddev	twitter_rank	gbooks_rank	nyt_rank	lyrics_rank
wines	1830	6.28	2.3737	--	--	3316	--
reasonably	1831	6.27	1.3643	--	4852	--	--
uptown	1832	6.27	1.1982	--	--	--	2673
aims	1833	6.27	1.2209	--	4235	--	--
observe	1834	6.27	1.3659	--	2684	--	--
regards	1835	6.27	1.3350	--	3929	--	--
allows	1836	6.26	1.1920	4657	2440	3048	--
appropriate	1837	6.26	1.2423	--	1099	2819	--
australian	1838	6.26	1.2257	3514	4016	4205	--
blackberry	1839	6.26	1.6389	1553	--	--	--
breathing	1840	6.26	1.2257	4699	4554	--	1461
camp	1841	6.26	1.5361	2118	1702	1747	4229
cars	1842	6.26	1.6880	1684	3500	1241	1088
considerable	1843	6.26	1.0264	--	971	4222	--
costume	1844	6.26	1.7591	3896	--	--	--
degree	1845	6.26	1.5884	3369	679	810	3769
develop	1846	6.26	1.0461	--	1236	1967	--
egypt	1847	6.26	1.1572	--	2570	4464	--
events	1848	6.26	1.4682	1947	832	1219	--
flag	1849	6.26	1.3063	2806	4250	4275	2446
gave	1850	6.26	1.2906	715	465	597	427
gods	1851	6.26	1.9146	3795	2557	--	1746
gr8	1852	6.26	1.7591	--	--	--	--
hotels	1853	6.26	1.4820	2915	--	3076	--
human	1854	6.26	1.6389	1207	218	602	889
indian	1855	6.26	1.7706	1951	775	1724	3191
leap	1856	6.26	1.2906	--	--	--	4344
lifetime	1857	6.26	1.6264	3702	--	3898	1539
magnetic	1858	6.26	1.2906	--	2898	--	--
mirror	1859	6.26	1.1031	3207	3768	4750	988
mmmm	1860	6.26	1.5624	2537	--	--	3538
occasion	1861	6.26	1.1747	--	1525	4888	--
produce	1862	6.26	1.1214	4838	834	1828	--
prominent	1863	6.26	1.1031	--	2748	2829	--
promises	1864	6.26	1.5493	--	4910	4086	1456
proved	1865	6.26	1.9358	--	1465	3140	--
raising	1866	6.26	1.2257	4555	3241	2432	4972
school	1867	6.26	1.8824	232	227	112	685
shirt	1868	6.26	1.3372	1367	--	--	2022
spark	1869	6.26	1.6637	--	--	--	2026
surely	1870	6.26	1.2586	3392	2401	3169	1645
team	1871	6.26	1.4259	499	1870	349	1631
travelers	1872	6.26	1.5624	--	--	4158	--
upcoming	1873	6.26	1.0264	2940	--	--	--
us	1874	6.26	1.7591	130	96	136	121
valley	1875	6.26	1.1572	2317	1674	1371	1801
vintage	1876	6.26	1.3372	3063	--	--	--
proteins	1877	6.25	1.2800	--	3520	--	--
almighty	1878	6.24	2.0466	--	--	--	4541
horizon	1879	6.24	1.3155	--	--	--	2703
insight	1880	6.24	1.5749	--	4228	--	--
ooooh	1881	6.24	1.9422	--	--	--	2391
poetic	1882	6.24	1.7973	--	4872	--	--
spirits	1883	6.24	1.7973	--	2978	--	2554
aboard	1884	6.24	1.3786	--	--	4353	4432
acknowledge	1885	6.24	1.3180	--	4711	3977	--
actors	1886	6.24	1.2048	--	4019	3109	--
advances	1887	6.24	1.3486	--	4310	--	--
aid	1888	6.24	1.3637	3129	1192	1095	--
answer	1889	6.24	1.5722	511	748	1533	756
athletes	1890	6.24	1.3786	--	--	4093	--
bowling	1891	6.24	1.5059	3180	--	--	--
boy	1892	6.24	1.2867	265	1089	1711	194
built	1893	6.24	1.1877	2637	907	1179	1319
choice	1894	6.24	1.3180	1182	1064	1001	1182
constitution	1895	6.24	1.3486	--	1223	2849	--
conversation	1896	6.24	1.4507	2064	2034	3367	2162
cowboy	1897	6.24	1.4078	--	--	--	2036
day	1898	6.24	1.3637	50	132	126	85
deliver	1899	6.24	1.0214	4132	4435	3865	2799
developments	1900	6.24	1.0984	--	3205	4848	--
distinctive	1901	6.24	1.3024	--	4867	--	--
dvds	1902	6.24	1.4507	4804	--	--	--
edison	1903	6.24	1.1350	--	--	4417	--
eighteen	1904	6.24	1.4647	--	4202	--	4632
enterprise	1905	6.24	1.2382	--	2513	4620	--
eyes	1906	6.24	1.0984	610	433	2003	117
flying	1907	6.24	1.6483	1823	3680	3407	1084
grad	1908	6.24	1.2867	4447	--	--	--
grammy	1909	6.24	1.3786	4302	--	--	--
grill	1910	6.24	1.6971	3636	--	--	2772
halloween	1911	6.24	2.0057	2125	--	--	4762
holland	1912	6.24	1.3024	--	4378	4058	--
jelly	1913	6.24	1.3180	3322	--	--	4544
jingle	1914	6.24	1.7792	--	--	--	3813
legitimate	1915	6.24	1.6107	--	4290	4725	--
making	1916	6.24	1.1877	302	357	456	515
more	1917	6.24	0.9596	68	42	47	82
options	1918	6.24	0.9381	3201	3574	2279	--
possible	1919	6.24	1.5980	1114	233	706	3359
practical	1920	6.24	1.2867	--	1147	2703	--
proceeds	1921	6.24	1.1168	--	4359	4214	--
proposed	1922	6.24	1.6971	--	1253	1041	--
provides	1923	6.24	1.4647	--	1300	2142	--
queen	1924	6.24	1.7907	1146	1682	2714	882
revolutionary	1925	6.24	1.8578	--	2612	--	--
rises	1926	6.24	1.2545	--	4654	--	3946
samsung	1927	6.24	1.2048	4794	--	--	--
self	1928	6.24	1.2382	1104	320	--	1102
show	1929	6.24	1.4923	167	422	283	186
sooner	1930	6.24	1.3933	4501	4540	--	2710
speed	1931	6.24	1.4786	1902	1533	2459	1391
strategy	1932	6.24	1.2382	3116	1866	1795	--
tale	1933	6.24	1.1350	--	3545	3809	2142
tip	1934	6.24	1.0412	1909	4232	--	1947
updating	1935	6.24	1.0606	3810	--	--	--
vip	1936	6.24	1.4507	3539	--	--	4327
websites	1937	6.24	1.4923	3365	--	--	--
worlds	1938	6.24	1.5592	4561	--	--	2111
writing	1939	6.24	1.6483	683	717	1134	2157
xbox	1940	6.24	1.7445	1325	--	--	--
you	1941	6.24	1.5460	9	34	51	3
yours	1942	6.24	1.3786	1202	3824	--	645
yourself	1943	6.24	1.5059	663	1759	4074	337
collective	1944	6.23	1.3707	--	2795	--	--
embrace	1945	6.22	1.8959	--	--	--	1711
produces	1946	6.22	1.3427	--	2953	--	--
meanings	1947	6.22	1.3295	--	4645	--	--
accompanied	1948	6.22	1.1119	--	2215	3778	--
advice	1949	6.22	1.5022	1531	2104	2380	2221
all	1950	6.22	1.4039	33	36	50	16
answered	1951	6.22	1.3445	4371	1856	2674	4830
architectural	1952	6.22	1.1301	--	--	4183	--
asia	1953	6.22	1.9513	4551	2130	2292	--
authors	1954	6.22	1.6817	--	1923	3704	--
avid	1955	6.22	1.1480	--	--	4993	--
batman	1956	6.22	1.5945	4410	--	--	--
big	1957	6.22	1.5022	173	853	350	198
breast	1958	6.22	1.4469	2534	2938	3705	4212
bro	1959	6.22	1.2982	920	--	--	4307
build	1960	6.22	1.0746	1416	1925	1233	1105
chef	1961	6.22	1.8327	2917	--	3969	--
clowns	1962	6.22	1.8438	--	--	--	3570
contacts	1963	6.22	1.2002	4303	4931	--	--
contributions	1964	6.22	1.5556	--	3104	580	--
cotton	1965	6.22	1.2824	--	2422	--	3207
cowboys	1966	6.22	1.6695	3283	--	--	4746
decent	1967	6.22	1.7058	2350	--	--	--
designs	1968	6.22	1.6573	3881	3744	4321	--
downloading	1969	6.22	1.3596	3510	--	--	--
environment	1970	6.22	1.7177	4461	1018	1962	--
evolution	1971	6.22	1.6073	--	2125	4482	--
farm	1972	6.22	1.5817	2022	1644	1834	3132
finishing	1973	6.22	1.6573	2382	--	--	--
fit	1974	6.22	1.5158	1349	1669	3075	1139
foundations	1975	6.22	1.1657	--	4233	--	--
full	1976	6.22	1.2171	394	366	671	440
guys	1977	6.22	1.4184	308	--	2188	1133
instrument	1978	6.22	1.2337	--	2169	--	--
join	1979	6.22	1.5556	631	2310	1743	1436
karma	1980	6.22	1.7296	4925	--	--	4539
knight	1981	6.22	1.4609	3210	--	--	4857
lives	1982	6.22	1.1480	1314	968	408	582
logic	1983	6.22	1.4748	--	2402	--	--
milk	1984	6.22	1.9303	966	2044	4449	2591
most	1985	6.22	1.5556	240	78	93	556
neon	1986	6.22	1.2337	--	--	--	2755
night	1987	6.22	1.2982	93	406	308	87
package	1988	6.22	1.4748	2592	--	2476	--
participation	1989	6.22	1.1480	--	2248	4560	--
penny	1990	6.22	1.7058	--	--	--	3116
pregnant	1991	6.22	2.0829	2638	--	--	--
properly	1992	6.22	1.0554	3987	2110	4577	--
quest	1993	6.22	1.4609	--	--	--	3647
restoration	1994	6.22	1.3445	--	4258	4622	--
seventeen	1995	6.22	1.5425	--	--	--	3397
social	1996	6.22	1.0359	271	162	651	3503
styles	1997	6.22	1.0160	--	--	3818	2721
supports	1998	6.22	1.5292	--	4768	4302	--
tech	1999	6.22	1.3293	1389	--	--	3689
thai	2000	6.22	1.3596	3089	--	--	--
thoughts	2001	6.22	1.5425	1130	1653	3344	700
today	2002	6.22	1.4469	70	877	120	355
transformation	2003	6.22	1.2982	--	2796	--	--
treaty	2004	6.22	1.3293	--	1807	2889	--
tribute	2005	6.22	1.3596	4350	--	3592	--
aesthetic	2006	6.21	1.5839	--	4774	--	--
upside	2007	6.21	1.3832	--	--	--	2329
behold	2008	6.20	1.4574	--	--	--	3017
dough	2009	6.20	1.4574	--	--	--	1311
sands	2010	6.20	1.5135	--	--	--	3837
3-bedroom	2011	6.20	1.2617	--	--	--	--
actor	2012	6.20	1.3553	3545	--	2208	--
agreements	2013	6.20	1.5649	--	4216	4198	--
arise	2014	6.20	1.1249	--	2635	--	3614
assured	2015	6.20	1.5649	--	3535	--	--
bubble	2016	6.20	1.5518	3526	--	--	2417
cereal	2017	6.20	1.3997	3610	--	--	--
definitely	2018	6.20	1.4142	859	4688	3795	--
dime	2019	6.20	1.3553	--	--	--	1189
engage	2020	6.20	1.3401	--	4013	--	--
erected	2021	6.20	1.4846	--	4603	--	--
estate	2022	6.20	1.6660	2193	1871	940	--
ethical	2023	6.20	1.3702	--	3478	4548	--
everybody	2024	6.20	1.2122	829	3530	2164	303
faces	2025	6.20	1.4569	2456	2813	2022	982
feeds	2026	6.20	1.4708	--	--	--	4335
haircut	2027	6.20	1.5119	3867	--	--	--
halo	2028	6.20	1.8070	4392	--	--	--
jacket	2029	6.20	1.1249	2824	--	--	4213
joining	2030	6.20	1.1066	4002	--	3803	--
kingdom	2031	6.20	1.3248	4779	1501	--	2046
lifted	2032	6.20	1.2289	--	4433	--	3268
listened	2033	6.20	1.2778	2721	4727	--	3103
meat	2034	6.20	2.1381	2202	2930	4101	2282
menu	2035	6.20	1.2936	3076	--	3395	--
nurse	2036	6.20	1.2617	2442	3294	4394	4920
opening	2037	6.20	0.9258	1514	1621	1116	4507
pension	2038	6.20	2.0000	--	--	2719	--
phd	2039	6.20	1.5119	--	--	3282	--
phones	2040	6.20	1.4286	2272	--	--	--
plans	2041	6.20	1.0102	1049	1554	512	1304
premier	2042	6.20	1.0498	4125	--	--	--
proposals	2043	6.20	1.6903	--	4071	2271	--
protein	2044	6.20	1.3093	--	1776	--	--
providence	2045	6.20	1.7496	--	--	3983	--
recommendations	2046	6.20	1.4142	--	4459	4535	--
sexual	2047	6.20	1.4569	3527	1417	1852	3744
soda	2048	6.20	1.7379	4202	--	--	--
spain	2049	6.20	1.6903	4612	1982	2914	--
stable	2050	6.20	1.3702	--	2638	3975	--
succession	2051	6.20	1.2936	--	3568	--	--
supporters	2052	6.20	1.5779	--	--	2280	--
taco	2053	6.20	1.7496	2748	--	--	--
think	2054	6.20	1.2936	73	228	168	92
trading	2055	6.20	1.2454	3068	3761	1075	--
upward	2056	6.20	1.5119	--	4691	--	--
yields	2057	6.20	1.4286	--	4740	--	--
sailor	2058	6.19	1.2272	--	--	--	3601
dynamics	2059	6.19	1.3153	--	4321	--	--
lyrical	2060	6.19	1.5527	--	--	--	2890
copper	2061	6.18	1.6030	--	2650	--	--
realise	2062	6.18	1.2529	--	--	--	2804
righteous	2063	6.18	1.8220	--	--	--	3557
transformed	2064	6.18	1.1488	--	4217	--	--
venus	2065	6.18	1.5636	--	--	--	4998
80s	2066	6.18	1.7106	--	--	--	--
advocates	2067	6.18	1.4665	--	--	3421	--
aha	2068	6.18	1.2567	3038	--	--	4412
ate	2069	6.18	1.4525	1014	--	--	2912
atlantic	2070	6.18	1.2070	--	3443	1618	--
awareness	2071	6.18	1.2887	3972	3292	--	--
balance	2072	6.18	1.6123	3370	1387	2161	3516
blonde	2073	6.18	1.5996	3302	--	--	3969
burger	2074	6.18	2.3008	2070	--	--	--
buyer	2075	6.18	1.1551	--	--	2264	--
certificate	2076	6.18	1.1373	4690	--	--	--
chances	2077	6.18	1.0437	3975	--	3696	1862
chief	2078	6.18	1.1551	3333	721	260	--
clearly	2079	6.18	1.1192	2354	802	1578	2732
cultural	2080	6.18	1.1551	--	870	1573	--
draws	2081	6.18	1.3200	--	--	--	3983
driving	2082	6.18	1.6499	822	3267	1979	1120
duck	2083	6.18	1.3952	3710	--	--	2209
eagle	2084	6.18	1.8811	4887	--	--	3010
emotions	2085	6.18	1.7106	--	3558	--	1985
established	2086	6.18	1.1726	--	637	1791	--
experiments	2087	6.18	1.5996	--	1881	--	--
expression	2088	6.18	1.3045	--	839	4788	--
fishing	2089	6.18	1.8260	4237	3764	4212	--
fri	2090	6.18	2.0572	2946	--	--	--
fully	2091	6.18	1.2237	2858	1120	1896	3873
informed	2092	6.18	1.3354	--	2334	4293	--
initiated	2093	6.18	1.3805	--	4960	--	--
italy	2094	6.18	1.4665	4252	1846	1925	--
king	2095	6.18	1.5609	597	379	924	542
land	2096	6.18	1.3354	1670	289	1048	464
lion	2097	6.18	1.6123	2900	--	--	3089
miami	2098	6.18	1.7460	1810	--	1378	4054
midnight	2099	6.18	1.4241	1737	--	3635	1041
mineral	2100	6.18	1.0039	--	4133	--	--
nomination	2101	6.18	1.2070	--	--	2877	--
oak	2102	6.18	1.4665	--	--	4383	--
occasions	2103	6.18	1.5077	--	3199	--	--
philosophical	2104	6.18	1.3805	--	2891	--	--
playlist	2105	6.18	1.6123	4139	--	--	--
profound	2106	6.18	1.5477	--	3668	2373	--
provided	2107	6.18	1.1899	--	586	1191	--
resolution	2108	6.18	1.2887	4442	1904	2499	--
riding	2109	6.18	1.3952	2328	4850	4420	1295
safety	2110	6.18	1.7343	2712	1723	1167	3857
scientist	2111	6.18	1.2887	--	--	3702	--
she	2112	6.18	1.5868	105	55	41	55
sight	2113	6.18	0.9833	3631	1504	4307	737
spice	2114	6.18	1.7225	4836	--	--	--
steady	2115	6.18	1.3354	4234	3266	4547	1433
survey	2116	6.18	1.5077	3328	1579	2055	--
swiss	2117	6.18	1.6499	--	--	3567	--
t-shirt	2118	6.18	1.4384	--	--	--	--
tiger	2119	6.18	1.7460	1296	--	--	4159
tomorrow	2120	6.18	1.3805	170	4618	683	508
tourist	2121	6.18	1.4241	--	--	4909	--
tournament	2122	6.18	1.3805	4861	--	1498	--
trade	2123	6.18	1.0039	2025	478	500	2092
trains	2124	6.18	1.3200	4884	--	3460	3945
tune	2125	6.18	1.4241	1082	--	--	1380
victor	2126	6.18	1.7225	--	--	2976	--
walking	2127	6.18	1.5609	1024	2730	2452	546
wireless	2128	6.18	1.5996	3034	--	4873	--
www	2129	6.18	1.5609	--	2721	--	--
yea	2130	6.18	1.6744	549	--	--	634
beds	2131	6.17	1.7177	--	4360	--	--
preference	2132	6.17	0.9964	--	3923	--	--
applying	2133	6.16	1.1609	--	4078	--	--
crop	2134	6.16	1.2474	--	3654	--	--
enable	2135	6.16	1.1963	--	2919	--	--
interactions	2136	6.16	1.1609	--	3677	--	--
narrative	2137	6.16	1.2410	--	2315	--	--
railway	2138	6.16	1.3439	--	2633	--	--
afford	2139	6.16	1.2349	3249	3226	2845	2543
allowing	2140	6.16	1.0947	--	3417	2690	--
automobile	2141	6.16	1.3756	--	--	4650	--
bands	2142	6.16	1.4619	3045	4415	--	4687
boys	2143	6.16	1.2349	689	1373	2205	471
cds	2144	6.16	1.2014	4913	--	--	--
christ	2145	6.16	2.3067	2509	909	4238	1526
dictionary	2146	6.16	1.5696	--	4987	--	--
downloads	2147	6.16	1.1314	4476	--	--	--
eagles	2148	6.16	1.4479	3861	--	--	--
engaged	2149	6.16	1.9625	3854	1823	4277	--
especially	2150	6.16	1.0174	1021	429	946	3471
fiction	2151	6.16	1.4337	--	3194	2869	4332
grocery	2152	6.16	1.7304	2511	--	--	--
hotel	2153	6.16	1.5954	523	2465	981	1826
houses	2154	6.16	1.6333	4326	1272	1658	3617
hubby	2155	6.16	1.7186	1757	--	--	--
included	2156	6.16	1.2993	4105	966	316	--
lemon	2157	6.16	1.3456	3548	--	--	--
mellow	2158	6.16	1.5301	--	--	--	4082
minds	2159	6.16	1.2349	2803	2308	4217	1181
my	2160	6.16	1.2835	10	64	115	8
own	2161	6.16	1.9205	367	119	222	222
pacific	2162	6.16	1.1843	4244	2463	1915	--
people	2163	6.16	1.5826	52	102	66	179
planning	2164	6.16	1.4619	1265	1180	1301	--
polish	2165	6.16	1.3903	--	3961	4346	--
premium	2166	6.16	1.4479	4532	--	--	--
providing	2167	6.16	1.2014	--	2061	2448	--
readers	2168	6.16	1.2349	4904	2386	1946	--
rocked	2169	6.16	1.4479	4269	--	--	3398
sausage	2170	6.16	1.8223	4768	--	--	--
south	2171	6.16	1.6081	833	370	311	927
transportation	2172	6.16	1.6826	--	3076	1489	--
turkey	2173	6.16	1.8111	1598	4657	3892	--
wed	2174	6.16	1.8223	2861	--	--	--
wheels	2175	6.16	1.2182	--	--	--	1617
woods	2176	6.16	1.3303	1836	3349	3262	2884
yacht	2177	6.16	1.3607	--	--	4034	--
livin	2178	6.15	1.5977	--	--	--	1425
believing	2179	6.14	1.5275	--	--	--	2043
chemistry	2180	6.14	1.3994	--	4059	--	--
continuous	2181	6.14	1.1365	--	2144	--	--
persons	2182	6.14	1.2748	--	654	--	--
seed	2183	6.14	1.3844	--	3286	--	1996
sheep	2184	6.14	1.5411	--	3481	--	2719
successive	2185	6.14	1.4142	--	4298	--	--
adult	2186	6.14	1.3403	1676	1975	2854	--
amsterdam	2187	6.14	1.4984	--	--	1381	--
arises	2188	6.14	1.1068	--	3915	--	--
arrived	2189	6.14	1.3999	1857	1338	2195	3679
asleep	2190	6.14	1.7498	847	--	--	1349
aviation	2191	6.14	1.3403	--	--	4334	--
basketball	2192	6.14	2.0899	1786	--	257	--
browser	2193	6.14	1.0304	4300	--	--	--
cathedral	2194	6.14	1.5520	--	--	3381	--
cd	2195	6.14	1.3554	1149	4375	--	3581
cheek	2196	6.14	1.5909	--	--	--	2611
combination	2197	6.14	1.1430	--	1825	3366	--
conscious	2198	6.14	1.3852	--	2350	--	--
cricket	2199	6.14	1.6164	4797	--	--	--
debut	2200	6.14	1.2618	4589	--	3312	--
dividends	2201	6.14	1.5520	--	--	4378	--
drinking	2202	6.14	1.7144	876	3389	4197	1665
elizabeth	2203	6.14	1.7263	--	2703	801	--
eye	2204	6.14	1.4287	978	953	1998	494
generate	2205	6.14	1.1608	--	4632	--	--
granted	2206	6.14	1.8071	--	2026	3398	2604
guests	2207	6.14	1.3852	4781	4803	3521	--
huge	2208	6.14	1.7025	787	2621	1646	--
jumping	2209	6.14	1.5780	3922	--	--	3011
kindle	2210	6.14	1.2456	3751	--	--	--
launches	2211	6.14	1.1250	3285	--	--	--
mend	2212	6.14	1.2124	--	--	--	2645
models	2213	6.14	1.5780	3720	1466	3009	--
mutual	2214	6.14	1.1068	--	2665	1860	--
offered	2215	6.14	1.3999	4154	1207	969	--
places	2216	6.14	1.1608	1706	918	1722	1058
plan	2217	6.14	1.2779	659	624	353	853
principles	2218	6.14	1.3999	--	855	4371	--
recovering	2219	6.14	1.3095	4669	--	--	--
respectively	2220	6.14	1.2124	--	2109	1195	--
restore	2221	6.14	1.1608	--	4932	3990	--
ride	2222	6.14	1.3852	867	3964	3078	280
rock	2223	6.14	1.2938	289	1616	1306	232
shirts	2224	6.14	1.0304	3515	--	--	--
sony	2225	6.14	1.3554	2856	--	--	--
strategies	2226	6.14	1.4429	--	2655	4043	--
strongly	2227	6.14	1.2779	--	2030	3181	--
temple	2228	6.14	1.4144	--	1892	1568	3427
thousands	2229	6.14	1.0692	3074	2342	1406	4044
tonight	2230	6.14	1.3403	139	--	855	180
trail	2231	6.14	1.1430	4521	4380	3674	2478
twin	2232	6.14	1.2938	3230	--	4564	4916
up	2233	6.14	1.5254	34	72	69	31
updates	2234	6.14	1.2124	1506	--	--	--
vagina	2235	6.14	1.8071	3341	--	--	--
yahoo	2236	6.14	1.7380	2008	--	--	--
receives	2237	6.13	1.4237	--	4559	--	--
exclusively	2238	6.12	1.4385	--	3821	--	--
writings	2239	6.12	1.6964	--	2608	--	--
destiny	2240	6.12	1.4525	--	--	--	1233
outcomes	2241	6.12	1.4381	--	4580	--	--
quicker	2242	6.12	1.1481	--	--	--	4042
boulevard	2243	6.12	1.2558	--	--	2799	4033
chapels	2244	6.12	1.3192	--	--	3734	--
consideration	2245	6.12	1.2720	--	1410	4125	--
digital	2246	6.12	1.4234	1384	4385	2778	--
dish	2247	6.12	1.4090	4457	--	--	--
eat-in	2248	6.12	1.1542	--	--	--	--
ensure	2249	6.12	1.3649	--	2634	--	--
event	2250	6.12	1.6492	538	1240	1189	--
everyone	2251	6.12	1.2229	205	1731	998	516
face	2252	6.12	1.1718	267	393	774	160
focus	2253	6.12	1.0622	1707	1586	1534	2712
funds	2254	6.12	1.8254	4847	2005	717	--
garlic	2255	6.12	1.6616	4697	--	--	--
investing	2256	6.12	1.5471	--	--	2876	--
keyboard	2257	6.12	1.3944	3188	--	--	--
knows	2258	6.12	0.8953	868	1620	1535	379
leaf	2259	6.12	1.3944	--	4060	--	3634
males	2260	6.12	1.4658	--	3752	--	--
maps	2261	6.12	1.1542	4437	4259	--	--
masters	2262	6.12	1.3346	--	3681	4758	--
networking	2263	6.12	1.2558	1623	--	--	--
nursing	2264	6.12	1.4658	4640	2793	3126	--
patiently	2265	6.12	1.5070	--	--	--	4173
proceeded	2266	6.12	1.3346	--	3607	--	--
proceeding	2267	6.12	1.3944	--	4728	--	--
profession	2268	6.12	1.1183	--	3106	--	--
robot	2269	6.12	1.3192	3494	--	--	3519
snowing	2270	6.12	2.1631	2239	--	--	--
studied	2271	6.12	1.3037	--	1741	3458	--
study	2272	6.12	1.6243	1017	264	771	4835
theme	2273	6.12	1.1718	1526	2749	3197	--
toward	2274	6.12	1.1364	4278	538	793	4074
traditional	2275	6.12	1.6980	4684	1188	1710	--
treasurer	2276	6.12	1.5205	--	--	4404	--
university's	2277	6.12	1.4518	--	--	--	--
v-day	2278	6.12	1.5070	--	--	--	--
very	2279	6.12	1.8913	129	84	166	447
voted	2280	6.12	1.2558	754	--	1964	--
wii	2281	6.12	1.5990	1368	--	--	--
waving	2282	6.11	1.4481	--	--	--	4424
extending	2283	6.10	1.2588	--	4056	--	--
readily	2284	6.10	1.4475	--	2216	--	--
mirrors	2285	6.10	1.3423	--	--	--	4612
nearer	2286	6.10	1.1769	--	4917	--	--
nurses	2287	6.10	1.9175	--	4844	--	--
preserved	2288	6.10	1.4030	--	3119	--	--
senses	2289	6.10	1.4895	--	3885	--	2397
aah	2290	6.10	1.5811	--	--	--	2654
acknowledged	2291	6.10	1.4321	--	4132	2262	--
beers	2292	6.10	2.2246	4358	--	--	--
bentley	2293	6.10	1.6933	--	--	--	4905
brazil	2294	6.10	1.3590	2653	4776	3211	--
cattle	2295	6.10	1.3887	--	2819	--	--
challenging	2296	6.10	1.5419	--	--	--	--
check	2297	6.10	1.5286	204	1852	2321	509
chili	2298	6.10	1.8544	3395	--	--	--
citizens	2299	6.10	1.5152	--	1655	1879	--
collection	2300	6.10	1.0738	1963	1331	1187	--
comprehend	2301	6.10	1.5940	--	--	--	4858
customers	2302	6.10	1.0926	2822	3513	1392	--
elected	2303	6.10	1.4178	--	2297	1527	--
electricity	2304	6.10	1.6194	--	4404	4177	--
enters	2305	6.10	1.2817	--	4737	--	--
essence	2306	6.10	1.1473	--	3357	--	4730
fab	2307	6.10	1.5152	2945	--	--	--
forthcoming	2308	6.10	1.0738	--	--	3871	--
forward	2309	6.10	0.8391	590	1029	1253	2058
guide	2310	6.10	1.1650	1322	1805	2121	1555
herself	2311	6.10	1.1112	3218	1022	2384	2491
increasingly	2312	6.10	1.3439	--	2456	2504	--
info	2313	6.10	1.2657	923	--	--	--
investments	2314	6.10	1.6690	--	--	2438	--
justification	2315	6.10	1.3439	--	4704	--	--
karaoke	2316	6.10	1.9086	4752	--	--	--
keeping	2317	6.10	1.1112	1599	1967	2052	1382
know	2318	6.10	1.3887	64	153	215	25
launched	2319	6.10	1.0351	3938	--	--	--
life's	2320	6.10	1.3887	--	--	--	--
madame	2321	6.10	1.6320	--	4345	--	--
markets	2322	6.10	1.1650	3822	2337	548	--
moments	2323	6.10	1.1112	2767	3124	2846	1848
nike	2324	6.10	1.3887	4828	--	--	--
november	2325	6.10	1.3439	2374	1215	520	--
open	2326	6.10	1.3590	423	416	340	320
oscar	2327	6.10	1.7757	3638	--	4282	--
owner	2328	6.10	1.5419	2926	2583	1165	--
practically	2329	6.10	1.2330	--	2880	--	--
precise	2330	6.10	1.5551	--	3549	--	--
release	2331	6.10	1.2330	1248	2255	1488	1681
romans	2332	6.10	1.2657	--	4682	--	--
security	2333	6.10	1.6320	1556	945	469	3301
shade	2334	6.10	1.6812	--	--	--	2059
shoulders	2335	6.10	1.2164	--	3678	--	2511
soap	2336	6.10	1.0738	3955	--	--	4885
springfield	2337	6.10	1.2495	--	--	4733	--
start	2338	6.10	1.5419	275	1129	615	271
telecommunications	2339	6.10	1.7053	--	--	3747	--
tomorrow's	2340	6.10	1.1650	--	--	--	--
trinity	2341	6.10	1.4880	--	--	4012	--
western	2342	6.10	1.3590	3704	729	1031	4043
window	2343	6.10	1.4463	924	1539	2883	686
woof	2344	6.10	1.6444	--	--	--	4558
yay	2345	6.10	1.9717	492	--	--	3182
roam	2346	6.09	1.3646	--	--	--	2307
dawning	2347	6.08	1.4415	--	--	--	4937
choir	2348	6.08	1.8009	--	--	--	3725
crops	2349	6.08	1.6052	--	3667	--	--
elvis	2350	6.08	1.9878	--	--	--	3361
significance	2351	6.08	1.2721	--	1728	--	--
throne	2352	6.08	2.1099	--	3576	--	2401
velocity	2353	6.08	1.0376	--	2448	--	--
acquainted	2354	6.08	1.5497	--	4927	--	--
ahead	2355	6.08	1.3679	1263	2543	1266	886
alright	2356	6.08	1.3068	1455	--	--	362
audiences	2357	6.08	1.0467	--	--	4237	--
ball	2358	6.08	1.2262	1232	2492	1512	854
belief	2359	6.08	1.4405	--	1505	4370	3623
bff	2360	6.08	1.6015	3774	--	--	--
boat	2361	6.08	1.4824	2708	2218	2879	1626
boots	2362	6.08	1.3679	2301	--	--	1693
california	2363	6.08	1.5097	1805	1431	635	1663
centuries	2364	6.08	1.3377	--	2129	--	--
cheaper	2365	6.08	1.7594	4805	--	--	--
clue	2366	6.08	1.1753	3648	--	--	2057
coat	2367	6.08	1.2428	3371	3707	--	2045
consensus	2368	6.08	1.1753	--	--	4992	--
contact	2369	6.08	0.9864	1842	1160	2041	3887
deserved	2370	6.08	1.4961	4982	--	--	--
drive	2371	6.08	1.5232	555	1815	1122	575
facebook	2372	6.08	1.9361	486	--	--	--
freelance	2373	6.08	1.4405	--	--	4017	--
greek	2374	6.08	1.2591	4184	1424	3972	--
grown	2375	6.08	1.2428	2372	2193	3090	1205
help	2376	6.08	1.4686	230	391	337	305
housing	2377	6.08	1.4405	4795	2359	993	--
instant	2378	6.08	1.1220	2779	3801	--	4302
integrated	2379	6.08	1.3068	--	3577	--	--
introduction	2380	6.08	1.0069	--	1088	4740	--
legit	2381	6.08	1.1753	4483	--	--	--
ma	2382	6.08	2.0488	778	2088	1384	633
message	2383	6.08	1.1220	983	1667	1340	1240
negotiate	2384	6.08	1.2752	--	--	4211	--
